Method,PR-AUC,ROC-AUC,F1,Precision,Recall,G-Mean,MCC,TN,FP,FN,TP
Borderline-SMOTE(0.10)+RF,0.18499649072928412,0.8008849557522123,0.0,0.0,0.0,0.0,-0.002534908404121196,1242,1,10,0
SMOTE-Tomek(0.10)+RF,0.06383351556801495,0.8395414320193081,0.0,0.0,0.0,0.0,-0.0035863343727484923,1241,2,10,0
Balanced Random Forest,0.05908320917137631,0.8656074014481094,0.05825242718446602,0.030100334448160536,0.9,0.8306769138220218,0.13917203993089383,953,290,1,9
ADASYN(0.10)+RF,0.05684200363490389,0.8803700724054706,0.0,0.0,0.0,0.0,-0.0035863343727484923,1241,2,10,0
EasyEnsemble,0.05566091746366788,0.8686242960579243,0.0425531914893617,0.021739130434782608,1.0,0.7987318992141258,0.11776659366344686,793,450,0,10
SMOTE(0.10)+RF,0.053150356811926217,0.8279163314561544,0.0,0.0,0.0,0.0,-0.0035863343727484923,1241,2,10,0
SMOTE-ENN(0.10)+RF,0.052226108564934634,0.8851166532582463,0.07407407407407407,0.058823529411764705,0.1,0.31418591889698944,0.06701302092638516,1227,16,9,1
RF (balanced_subsample),0.05198299158332176,0.8236524537409494,0.0,0.0,0.0,0.0,0.0,1243,0,10,0
LogReg class_weight,0.0490252090749143,0.855832662912309,0.048,0.025,0.6,0.6978878604822754,0.0931010059854876,1009,234,4,6
Custom weighted log-loss LR,0.04763645755431166,0.8563958165728077,0.0,0.0,0.0,0.0,-0.004394101216724049,1240,3,10,0
Balanced Bagging,0.04449265794737455,0.8718020917135961,0.056074766355140186,0.028938906752411574,0.9,0.8254304808284048,0.13533849582689797,941,302,1,9
RandomOver(0.10)+RF,0.033987183914625775,0.8240144810941271,0.0,0.0,0.0,0.0,0.0,1243,0,10,0
RandomUnder+RF,0.027914312496249795,0.802614641995173,0.03636363636363636,0.018556701030927835,0.9,0.7452180618951332,0.09445419613938749,767,476,1,9
RF (baseline),0.02698780619585226,0.748592115848753,0.0,0.0,0.0,0.0,0.0,1243,0,10,0
RUSBoost,0.013841562857836845,0.703821399839099,0.028526148969889066,0.014492753623188406,0.9,0.6759278953485928,0.07254558726850519,631,612,1,9
