dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status
Abalone19,Baseline RF,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.748592115848753,0.02698780619585226,0.9920191540303273,1243,0,10,0,ok
Abalone19,RF (balanced_subsample),0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.8236524537409494,0.05198299158332176,0.9920191540303273,1243,0,10,0,ok
Abalone19,Class weight LogisticRegression,0.5,0.7058728881737731,0.025,0.6,0.048,0.6978878604822754,0.0931010059854876,0.855832662912309,0.0490252090749143,0.8100558659217877,1009,234,4,6,ok
Abalone19,Custom weighted log-loss LR,0.5,0.498793242156074,0.0,0.0,0.0,0.0,-0.004394101216724049,0.8563958165728077,0.04763645755431166,0.9896249002394254,1240,3,10,0,ok
Abalone19,Random Oversampling + RF,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.8240144810941271,0.033987183914625775,0.9920191540303273,1243,0,10,0,ok
Abalone19,Random Undersampling + RF,0.5,0.7585277554304103,0.018556701030927835,0.9,0.03636363636363636,0.7452180618951332,0.09445419613938749,0.802614641995173,0.027914312496249795,0.6193136472466081,767,476,1,9,ok
Abalone19,SMOTE + RF,0.5,0.499195494770716,0.0,0.0,0.0,0.0,-0.0035863343727484923,0.8279163314561544,0.053150356811926217,0.9904229848363927,1241,2,10,0,ok
Abalone19,Borderline-SMOTE + RF,0.5,0.499597747385358,0.0,0.0,0.0,0.0,-0.002534908404121196,0.8008849557522123,0.18499649072928412,0.99122106943336,1242,1,10,0,ok
Abalone19,ADASYN + RF,0.5,0.499195494770716,0.0,0.0,0.0,0.0,-0.0035863343727484923,0.8803700724054706,0.05684200363490389,0.9904229848363927,1241,2,10,0,ok
Abalone19,SMOTE-Tomek + RF,0.5,0.499195494770716,0.0,0.0,0.0,0.0,-0.0035863343727484923,0.8395414320193081,0.06383351556801495,0.9904229848363927,1241,2,10,0,ok
Abalone19,SMOTE-ENN + RF,0.5,0.5435639581657281,0.058823529411764705,0.1,0.07407407407407407,0.31418591889698944,0.06701302092638516,0.8851166532582463,0.052226108564934634,0.9800478850758181,1227,16,9,1,ok
Abalone19,Balanced Bagging,0.5,0.8285197103781174,0.028938906752411574,0.9,0.056074766355140186,0.8254304808284048,0.13533849582689797,0.8718020917135961,0.04449265794737455,0.7581803671189146,941,302,1,9,ok
Abalone19,Balanced Random Forest,0.5,0.8333467417538214,0.030100334448160536,0.9,0.05825242718446602,0.8306769138220218,0.13917203993089383,0.8656074014481094,0.05908320917137631,0.767757382282522,953,290,1,9,ok
Abalone19,EasyEnsemble,0.5,0.8189863234111021,0.021739130434782608,1.0,0.0425531914893617,0.7987318992141258,0.11776659366344686,0.8686242960579243,0.05566091746366788,0.6408619313647247,793,450,0,10,ok
Abalone19,RUSBoost,0.5,0.703821399839099,0.014492753623188406,0.9,0.028526148969889066,0.6759278953485928,0.07254558726850519,0.703821399839099,0.013841562857836845,0.5107741420590582,631,612,1,9,ok
