dataset,scenario,experiment,ir,seed,sampling_strategy,train_minority_majority_ratio_before,train_ir_actual,k_neighbors,method,status,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,roc_auc,pr_auc
synthetic,IR=10:1,adaptive_sampling_strategy,10,0,0.05,0.1,10.0,5,SMOTE + RF,skipped: sampling_strategy <= current minority/majority ratio,,,,,,,,,,,,,,,
synthetic,IR=10:1,adaptive_sampling_strategy,10,0,0.1,0.1,10.0,5,SMOTE + RF,skipped: sampling_strategy <= current minority/majority ratio,,,,,,,,,,,,,,,
synthetic,IR=10:1,adaptive_sampling_strategy,10,0,0.2,0.1,10.0,5,SMOTE + RF,ok,0.5,0.9654545454545455,0.81,1.0,0.62,0.7654320987654321,1.0,0.7874007874011811,0.7728534821147898,1500.0,0.0,57.0,93.0,0.9919,0.9595243359947989
synthetic,IR=10:1,adaptive_sampling_strategy,10,0,0.5,0.1,10.0,5,SMOTE + RF,ok,0.5,0.973939393939394,0.8596666666666666,0.9908256880733946,0.72,0.833976833976834,0.9993333333333333,0.8482452475552102,0.8325433886280571,1499.0,1.0,42.0,108.0,0.99762,0.9767198268854574
synthetic,IR=10:1,adaptive_sampling_strategy,10,0,1.0,0.1,10.0,5,SMOTE + RF,ok,0.5,0.9806060606060606,0.9083333333333333,0.9609375,0.82,0.8848920863309353,0.9966666666666667,0.904028023164474,0.8776548915002095,1495.0,5.0,27.0,123.0,0.9963288888888889,0.9664958938056147
synthetic,IR=10:1,adaptive_sampling_strategy,10,1,0.05,0.1,10.0,5,SMOTE + RF,skipped: sampling_strategy <= current minority/majority ratio,,,,,,,,,,,,,,,
synthetic,IR=10:1,adaptive_sampling_strategy,10,1,0.1,0.1,10.0,5,SMOTE + RF,skipped: sampling_strategy <= current minority/majority ratio,,,,,,,,,,,,,,,
synthetic,IR=10:1,adaptive_sampling_strategy,10,1,0.2,0.1,10.0,5,SMOTE + RF,ok,0.5,0.9696969696969697,0.8393333333333334,0.9807692307692307,0.68,0.8031496062992126,0.9986666666666667,0.8240711943353762,0.8028351220873688,1498.0,2.0,48.0,102.0,0.9764866666666666,0.9092184437231378
synthetic,IR=10:1,adaptive_sampling_strategy,10,1,0.5,0.1,10.0,5,SMOTE + RF,ok,0.5,0.9751515151515151,0.8843333333333333,0.943089430894309,0.7733333333333333,0.8498168498168498,0.9953333333333333,0.8773394123396283,0.8413122897176153,1493.0,7.0,34.0,116.0,0.98498,0.9270568697519159
synthetic,IR=10:1,adaptive_sampling_strategy,10,1,1.0,0.1,10.0,5,SMOTE + RF,ok,0.5,0.9703030303030303,0.8906666666666667,0.8686131386861314,0.7933333333333333,0.8292682926829268,0.988,0.8853323293166998,0.8140439708719637,1482.0,18.0,31.0,119.0,0.9852511111111111,0.9214662559068494
synthetic,IR=10:1,adaptive_sampling_strategy,10,2,0.05,0.1,10.0,5,SMOTE + RF,skipped: sampling_strategy <= current minority/majority ratio,,,,,,,,,,,,,,,
synthetic,IR=10:1,adaptive_sampling_strategy,10,2,0.1,0.1,10.0,5,SMOTE + RF,skipped: sampling_strategy <= current minority/majority ratio,,,,,,,,,,,,,,,
synthetic,IR=10:1,adaptive_sampling_strategy,10,2,0.2,0.1,10.0,5,SMOTE + RF,ok,0.5,0.9648484848484848,0.8156666666666667,0.9693877551020408,0.6333333333333333,0.7661290322580645,0.998,0.795026205018845,0.7678759801778845,1497.0,3.0,55.0,95.0,0.9705688888888888,0.8913036368379497
synthetic,IR=10:1,adaptive_sampling_strategy,10,2,0.5,0.1,10.0,5,SMOTE + RF,ok,0.5,0.9696969696969697,0.8603333333333334,0.923728813559322,0.7266666666666667,0.8134328358208955,0.994,0.8498862669008522,0.803998628025224,1491.0,9.0,41.0,109.0,0.9744044444444445,0.8939443978711876
