dataset,scenario,experiment,ir,sampling_strategy,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,specificity_mean,specificity_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,0.05,SMOTE + RF,0.9989787989787989,3.8451566379598964e-05,0.49998888888888887,1.924500897298941e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999777777777777,3.849001794597882e-05,0.0,0.0,-8.602616040378945e-05,0.0001490016805994333,0.925008148148148,0.02965393495703751,0.22145531011336891,0.12308184912395038,14999.666666666666,0.5773502691897571,0.3333333333333333,0.5773502691896258,15.0,0.0,0.0,0.0,3,0,0,0,3
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,0.1,SMOTE + RF,0.999089799089799,0.00010173328216124749,0.5444444444444444,0.05091750772173152,0.6666666666666666,0.5773502691896258,0.08888888888888889,0.10183501544346311,0.15277777777777776,0.16839382851364085,1.0,0.0,0.23513749508237303,0.2244969285823613,0.23503776617762837,0.2244063009061242,0.9003103703703704,0.052240204957405834,0.23847800920216655,0.18046557003013594,15000.0,0.0,0.0,0.0,13.666666666666666,1.5275252316519468,1.3333333333333333,1.5275252316519468,3,0,0,0,3
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,0.2,SMOTE + RF,0.9989787989787989,3.8451566379598964e-05,0.5332888888888889,0.057686916804162526,0.16666666666666666,0.2886751345948129,0.06666666666666667,0.11547005383792516,0.09523809523809523,0.1649572197684645,0.9999111111111111,0.00010183501544346402,0.14905629063470546,0.25817306856706285,0.1051862429782931,0.18241146525825758,0.8987474074074074,0.09380456324506135,0.1451026725571806,0.10171073887008801,14998.666666666666,1.527525231652145,1.3333333333333333,1.5275252316519468,14.0,1.7320508075688772,1.0,1.7320508075688772,3,0,0,0,3
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,0.5,SMOTE + RF,0.998912198912199,7.690313275922196e-05,0.5332555555555555,0.05771578190998958,0.16666666666666666,0.2886751345948129,0.06666666666666667,0.11547005383792516,0.09523809523809523,0.1649572197684645,0.9998444444444444,3.849001794597882e-05,0.14905629063470546,0.25817306856706285,0.1050289423097069,0.18254764599161577,0.9097903703703704,0.026811706152933937,0.11743743436171962,0.13610198417451014,14997.666666666666,0.5773502691897571,2.3333333333333335,0.5773502691896258,14.0,1.7320508075688772,1.0,1.7320508075688772,3,0,0,0,3
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,1.0,SMOTE + RF,0.9988011988011988,6.660006660008655e-05,0.5443,0.07693192517486554,0.13333333333333333,0.23094010767585033,0.08888888888888889,0.1539600717839002,0.10666666666666667,0.18475208614068026,0.9997111111111111,0.00010183501544345492,0.17209816320280058,0.2980827625565312,0.10836371773194912,0.18852566119692693,0.863462962962963,0.1080572370582297,0.09299659771422214,0.11590863388918918,14995.666666666666,1.5275252316519963,4.333333333333333,1.5275252316519465,13.666666666666666,2.3094010767585034,1.3333333333333333,2.3094010767585034,3,0,0,0,3
synthetic,IR=100:1,adaptive_sampling_strategy,100,0.05,SMOTE + RF,0.9927392739273927,0.0011432678597814302,0.6360833333333332,0.05550694401003656,0.9761904761904763,0.04123930494211609,0.2722222222222222,0.11097213530798988,0.41870441870441866,0.1325694624048357,0.9999444444444444,9.6225044864911e-05,0.5150350014957407,0.10209651624419644,0.5074971235664996,0.1065826486024388,0.9686722222222222,0.006040926359496846,0.7270455023185174,0.08282962694480803,5999.666666666667,0.5773502691897571,0.3333333333333333,0.5773502691896258,43.666666666666664,6.658328118479393,16.333333333333332,6.6583281184793925,3,0,0,0,3
synthetic,IR=100:1,adaptive_sampling_strategy,100,0.1,SMOTE + RF,0.9939493949394939,0.0014973220669764857,0.6944444444444445,0.07561476438231225,1.0,0.0,0.3888888888888889,0.15122952876462445,0.5487542617361658,0.15519693146070135,1.0,0.0,0.6157166398430215,0.12113159151914783,0.6139046384601424,0.12123817332975773,0.9811486111111112,0.00961859495077944,0.7732869123598171,0.0696794055058935,6000.0,0.0,0.0,0.0,36.666666666666664,9.073771725877467,23.333333333333332,9.073771725877465,3,0,0,0,3
synthetic,IR=100:1,adaptive_sampling_strategy,100,0.2,SMOTE + RF,0.9941694169416943,0.0015856474483388193,0.7110555555555557,0.07920618896507,0.9753086419753086,0.042766686606638946,0.4222222222222222,0.15840641588203613,0.5775357935067554,0.15791366487309982,0.9998888888888889,0.0001924500897298701,0.6418500092835789,0.12372039954224784,0.6318748092089804,0.12433701647289046,0.9873277777777778,0.001437705299349516,0.7755480297056329,0.07654772810726053,5999.333333333333,1.1547005383791202,0.6666666666666666,1.1547005383792517,34.666666666666664,9.504384952922168,25.333333333333332,9.504384952922168,3,0,0,0,3
synthetic,IR=100:1,adaptive_sampling_strategy,100,0.5,SMOTE + RF,0.994004400440044,0.0010609076744766575,0.7192222222222222,0.04587228143120532,0.9191919191919192,0.1147254211272783,0.4388888888888889,0.09179284245476838,0.5886101154918358,0.08858303946021186,0.9995555555555556,0.0006309898162000085,0.6599134468607099,0.0693359581295056,0.6294769665446124,0.07617758838188514,0.9876916666666666,0.003333651894500054,0.7480308037555571,0.07948793682215334,5997.333333333333,3.7859388972000523,2.6666666666666665,3.785938897200183,33.666666666666664,5.507570547286102,26.333333333333332,5.507570547286102,3,0,0,0,3
synthetic,IR=100:1,adaptive_sampling_strategy,100,1.0,SMOTE + RF,0.9937843784378438,0.0009669084615647632,0.7273611111111111,0.05406717358304634,0.8587801087801088,0.10289192770110535,0.45555555555555555,0.1084401183107952,0.5871879362733021,0.08991570618262495,0.9991666666666666,0.0006666666666667043,0.671444898933632,0.08045605694764416,0.6181237452892611,0.07143739318521143,0.9829458333333333,0.006742443615670421,0.7003461628171843,0.06710367149841381,5995.0,4.0,5.0,4.0,32.666666666666664,6.506407098647712,27.333333333333332,6.506407098647712,3,0,0,0,3
