dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status
AID362 PubChem Bioassay,Baseline RF,0.5,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.28867513459481287,0.28681214858683735,0.8665086887835702,0.3862891734332086,0.9871495327102804,844.0,0.0,11.0,1.0,ok
AID362 PubChem Bioassay,RF (balanced_subsample),0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.9587282780410742,0.46214830902330906,0.985981308411215,844.0,0.0,12.0,0.0,ok
AID362 PubChem Bioassay,Class weight LogisticRegression,0.5,0.7407187993680885,0.07526881720430108,0.5833333333333334,0.13333333333333333,0.723805329365794,0.1818855121780294,0.8063783570300158,0.084958997024354,0.8936915887850467,758.0,86.0,5.0,7.0,ok
AID362 PubChem Bioassay,Custom weighted log-loss LR,0.5,0.6149289099526066,0.15,0.25,0.1875,0.49493883963203306,0.17889697336095856,0.8344194312796209,0.2119207027361596,0.969626168224299,827.0,17.0,9.0,3.0,ok
AID362 PubChem Bioassay,Random Oversampling + RF,0.5,0.6244075829383886,0.75,0.25,0.375,0.4997037036776837,0.42893244828361343,0.9376974723538705,0.47694889686819253,0.9883177570093458,843.0,1.0,9.0,3.0,ok
AID362 PubChem Bioassay,Random Undersampling + RF,0.5,0.8287914691943128,0.03986710963455149,1.0,0.07667731629392971,0.8109148773999806,0.1619133444116014,0.9091627172195892,0.09748303298630909,0.6623831775700935,555.0,289.0,0.0,12.0,ok
AID362 PubChem Bioassay,SMOTE + RF,0.5,0.6244075829383886,0.75,0.25,0.375,0.4997037036776837,0.42893244828361343,0.9180489731437599,0.42973307774334735,0.9883177570093458,843.0,1.0,9.0,3.0,ok
AID362 PubChem Bioassay,Borderline-SMOTE + RF,0.5,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.408248290463863,0.40585103961233193,0.9108412322274881,0.37682566355516234,0.9883177570093458,844.0,0.0,10.0,2.0,ok
AID362 PubChem Bioassay,ADASYN + RF,0.5,0.6660742496050552,0.8,0.3333333333333333,0.47058823529411764,0.5770081356667273,0.5124415764682427,0.8649289099526065,0.4658837862064551,0.9894859813084113,843.0,1.0,8.0,4.0,ok
AID362 PubChem Bioassay,SMOTE-Tomek + RF,0.5,0.6244075829383886,0.75,0.25,0.375,0.4997037036776837,0.42893244828361343,0.9116804897314376,0.43669291885119027,0.9883177570093458,843.0,1.0,9.0,3.0,ok
AID362 PubChem Bioassay,SMOTE-ENN + RF,0.5,0.582740916271722,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.4080063655297503,0.32921303689067,0.8610781990521327,0.296899539767223,0.9871495327102804,843.0,1.0,10.0,2.0,ok
AID362 PubChem Bioassay,Balanced Bagging,0.5,0.917654028436019,0.07947019867549669,1.0,0.147239263803681,0.9139518898016668,0.2576472340912356,0.9492989731437598,0.36296812747853424,0.8376168224299065,705.0,139.0,0.0,12.0,ok
AID362 PubChem Bioassay,Balanced Random Forest,0.5,0.8193127962085308,0.08737864077669903,0.75,0.1565217391304348,0.8163756453452028,0.23077675611123913,0.915086887835703,0.3767620093504634,0.8866822429906542,750.0,94.0,3.0,9.0,ok
AID362 PubChem Bioassay,EasyEnsemble,0.5,0.8566350710900474,0.047244094488188976,1.0,0.09022556390977443,0.8445532204545163,0.18356961075504952,0.92239336492891,0.2734896305042254,0.7172897196261683,602.0,242.0,0.0,12.0,ok
AID362 PubChem Bioassay,RUSBoost,0.5,,,,,,,,,,,,,,"error: ValueError: BaseClassifier in AdaBoostClassifier ensemble is worse than random, ensemble can not be fit."
