dataset,method,tn,fp,fn,tp,precision,recall,f1
Credit Card Fraud Detection,Baseline RF,85290.0,5.0,34.0,114.0,0.957983193277311,0.7702702702702703,0.8539325842696629
Credit Card Fraud Detection,RF (balanced_subsample),85292.0,3.0,44.0,104.0,0.9719626168224299,0.7027027027027027,0.8156862745098039
Credit Card Fraud Detection,Class weight LogisticRegression,83492.0,1803.0,18.0,130.0,0.06725297465080186,0.8783783783783784,0.1249399327246516
Credit Card Fraud Detection,Custom weighted log-loss LR,85261.0,34.0,36.0,112.0,0.7671232876712328,0.7567567567567568,0.7619047619047619
Credit Card Fraud Detection,Random Oversampling + RF,85291.0,4.0,34.0,114.0,0.9661016949152542,0.7702702702702703,0.8571428571428571
Credit Card Fraud Detection,Random Undersampling + RF,83496.0,1799.0,18.0,130.0,0.06739243131156039,0.8783783783783784,0.12518054886856042
Credit Card Fraud Detection,SMOTE + RF,85278.0,17.0,25.0,123.0,0.8785714285714286,0.831081081081081,0.8541666666666666
Credit Card Fraud Detection,Borderline-SMOTE + RF,85291.0,4.0,35.0,113.0,0.9658119658119658,0.7635135135135135,0.8528301886792453
Credit Card Fraud Detection,ADASYN + RF,85279.0,16.0,27.0,121.0,0.8832116788321168,0.8175675675675675,0.8491228070175438
Credit Card Fraud Detection,SMOTE-Tomek + RF,85277.0,18.0,25.0,123.0,0.8723404255319149,0.831081081081081,0.8512110726643599
Credit Card Fraud Detection,SMOTE-ENN + RF,85270.0,25.0,26.0,122.0,0.8299319727891157,0.8243243243243243,0.8271186440677966
Credit Card Fraud Detection,Balanced Bagging,83260.0,2035.0,20.0,128.0,0.05917706888580675,0.8648648648648649,0.11077455646906101
Credit Card Fraud Detection,Balanced Random Forest,84522.0,773.0,20.0,128.0,0.14206437291897892,0.8648648648648649,0.2440419447092469
Credit Card Fraud Detection,EasyEnsemble,82890.0,2405.0,18.0,130.0,0.05128205128205128,0.8783783783783784,0.09690644800596347
Credit Card Fraud Detection,RUSBoost,83730.0,1565.0,27.0,121.0,0.07176749703440095,0.8175675675675675,0.13195201744820065
AID362 PubChem Bioassay,Baseline RF,844.0,0.0,11.0,1.0,1.0,0.08333333333333333,0.15384615384615385
AID362 PubChem Bioassay,RF (balanced_subsample),844.0,0.0,12.0,0.0,0.0,0.0,0.0
AID362 PubChem Bioassay,Class weight LogisticRegression,758.0,86.0,5.0,7.0,0.07526881720430108,0.5833333333333334,0.13333333333333333
AID362 PubChem Bioassay,Custom weighted log-loss LR,827.0,17.0,9.0,3.0,0.15,0.25,0.1875
AID362 PubChem Bioassay,Random Oversampling + RF,843.0,1.0,9.0,3.0,0.75,0.25,0.375
AID362 PubChem Bioassay,Random Undersampling + RF,555.0,289.0,0.0,12.0,0.03986710963455149,1.0,0.07667731629392971
AID362 PubChem Bioassay,SMOTE + RF,843.0,1.0,9.0,3.0,0.75,0.25,0.375
AID362 PubChem Bioassay,Borderline-SMOTE + RF,844.0,0.0,10.0,2.0,1.0,0.16666666666666666,0.2857142857142857
AID362 PubChem Bioassay,ADASYN + RF,843.0,1.0,8.0,4.0,0.8,0.3333333333333333,0.47058823529411764
AID362 PubChem Bioassay,SMOTE-Tomek + RF,843.0,1.0,9.0,3.0,0.75,0.25,0.375
AID362 PubChem Bioassay,SMOTE-ENN + RF,843.0,1.0,10.0,2.0,0.6666666666666666,0.16666666666666666,0.26666666666666666
AID362 PubChem Bioassay,Balanced Bagging,705.0,139.0,0.0,12.0,0.07947019867549669,1.0,0.147239263803681
AID362 PubChem Bioassay,Balanced Random Forest,750.0,94.0,3.0,9.0,0.08737864077669903,0.75,0.1565217391304348
AID362 PubChem Bioassay,EasyEnsemble,602.0,242.0,0.0,12.0,0.047244094488188976,1.0,0.09022556390977443
AID362 PubChem Bioassay,RUSBoost,,,,,,,
Abalone19,Baseline RF,1243.0,0.0,10.0,0.0,0.0,0.0,0.0
Abalone19,RF (balanced_subsample),1243.0,0.0,10.0,0.0,0.0,0.0,0.0
