dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status
Credit Card Fraud Detection,Baseline RF,0.5,0.8851058250935149,0.957983193277311,0.7702702702702703,0.8539325842696629,0.8776247016594902,0.8588031796473411,0.9307394606635477,0.8227019062855184,0.9995435553526912,85290,5,34,114,ok
Credit Card Fraud Detection,RF (balanced_subsample),0.5,0.8513337653263793,0.9719626168224299,0.7027027027027027,0.8156862745098039,0.8382589022540395,0.8261986868942863,0.930911914611135,0.8155147131452004,0.9994499256814484,85292,3,44,104,ok
Credit Card Fraud Detection,Class weight LogisticRegression,0.5,0.9286199881809238,0.06725297465080186,0.8783783783783784,0.1249399327246516,0.9272598681564882,0.23972310335450217,0.9681006538515771,0.7040392813158007,0.9786875460833538,83492,1803,18,130,ok
Credit Card Fraud Detection,Custom weighted log-loss LR,0.5,0.8781790700953607,0.7671232876712328,0.7567567567567568,0.7619047619047619,0.8697442733223681,0.7615121263970793,0.9615889528076644,0.7208285167450024,0.9991807403766253,85261,34,36,112,ok
Credit Card Fraud Detection,Random Oversampling + RF,0.5,0.885111687101839,0.9661016949152542,0.7702702702702703,0.8571428571428571,0.8776298465893133,0.862442572832307,0.9405244596258138,0.8201736596290466,0.9995552590615966,85291,4,34,114,ok
Credit Card Fraud Detection,Random Undersampling + RF,0.5,0.92864343621422,0.06739243131156039,0.8783783783783784,0.12518054886856042,0.9272820798357496,0.23997890175736322,0.972757979856872,0.6915471376603795,0.9787343609189753,83496,1799,18,130,ok
Credit Card Fraud Detection,SMOTE + RF,0.5,0.9154408863990317,0.8785714285714286,0.831081081081081,0.8541666666666666,0.9115456322849461,0.8542514133128242,0.952955680048417,0.8367971161839564,0.9995084442259752,85278,17,25,123,ok
Credit Card Fraud Detection,Borderline-SMOTE + RF,0.5,0.8817333087234606,0.9658119658119658,0.7635135135135135,0.8528301886792453,0.8737721143026593,0.8585173423470124,0.9301035515848812,0.8080913712974829,0.9995435553526912,85291,4,35,113,ok
Credit Card Fraud Detection,ADASYN + RF,0.5,0.9086899916505989,0.8832116788321168,0.8175675675675675,0.8491228070175438,0.9041096198775886,0.8495062332277441,0.9535571696322619,0.8360157799023051,0.9994967405170698,85279,16,27,121,ok
Credit Card Fraud Detection,SMOTE-Tomek + RF,0.5,0.9154350243907076,0.8723404255319149,0.831081081081081,0.8512110726643599,0.9115402877159801,0.8512097412170916,0.9472710766924964,0.8348887516075211,0.9994967405170698,85277,18,25,123,ok
Credit Card Fraud Detection,SMOTE-ENN + RF,0.5,0.9120156119540609,0.8299319727891157,0.8243243243243243,0.8271186440677966,0.907790016755956,0.8268244537943219,0.9420493343451899,0.8140026704608289,0.999403110845827,85270,25,26,122,ok
Credit Card Fraud Detection,Balanced Bagging,0.5,0.920503245492987,0.05917706888580675,0.8648648648648649,0.11077455646906101,0.918820219392348,0.22263496632678054,0.9684402146445642,0.6143174239457847,0.9759488781995014,83260,2035,20,128,ok
Credit Card Fraud Detection,Balanced Random Forest,0.5,0.9279010999979405,0.14206437291897892,0.8648648648648649,0.2440419447092469,0.9257574652346237,0.3483913701291126,0.9718830751145071,0.7140125673703075,0.9907189588380558,84522,773,20,128,ok
Credit Card Fraud Detection,EasyEnsemble,0.5,0.9250910591698446,0.05128205128205128,0.8783783783783784,0.09690644800596347,0.9239109227675899,0.20836146848815756,0.9695073378085278,0.7026116222255198,0.9716419133223319,82890,2405,18,130,ok
Credit Card Fraud Detection,RUSBoost,0.5,0.8996097407566427,0.07176749703440095,0.8175675675675675,0.13195201744820065,0.8958609085581576,0.2389567837189018,0.9346849487391136,0.1118508627203046,0.9813676954226794,83730,1565,27,121,ok
