metric,rank,method,dataset,scenario,value,source
pr_auc,1,Random Oversampling + RF,synthetic,clean_IR=10:1,0.9698443533457044,synthetic_repeated
pr_auc,2,SMOTE-Tomek + RF,synthetic,clean_IR=10:1,0.9664958938056148,synthetic_repeated
pr_auc,3,SMOTE + RF,synthetic,clean_IR=10:1,0.9664958938056148,synthetic_repeated
f1,1,SMOTE-ENN + RF,synthetic,clean_IR=10:1,0.8904593639575972,synthetic_repeated
f1,2,SMOTE-Tomek + RF,synthetic,clean_IR=10:1,0.8848920863309353,synthetic_repeated
f1,3,SMOTE + RF,synthetic,clean_IR=10:1,0.8848920863309353,synthetic_repeated
recall,1,Random Undersampling + RF,synthetic,clean_IR=50:1,0.9333333333333332,synthetic_repeated
recall,2,Random Undersampling + RF,synthetic,overlap_feature_noise_IR=10:1,0.9266666666666666,synthetic_repeated
recall,3,Random Undersampling + RF,synthetic,clean_IR=10:1,0.92,synthetic_repeated
precision,1,RF (balanced_subsample),synthetic,clean_IR=10:1,1.0,synthetic_repeated
precision,2,Baseline RF,synthetic,clean_IR=50:1,1.0,synthetic_repeated
precision,3,RF (balanced_subsample),synthetic,clean_IR=50:1,1.0,synthetic_repeated
mcc,1,SMOTE-ENN + RF,synthetic,clean_IR=10:1,0.8821297319738161,synthetic_repeated
mcc,2,SMOTE-Tomek + RF,synthetic,clean_IR=10:1,0.8776548915002095,synthetic_repeated
mcc,3,SMOTE + RF,synthetic,clean_IR=10:1,0.8776548915002095,synthetic_repeated
g_mean,1,Random Undersampling + RF,synthetic,clean_IR=10:1,0.932909427543746,synthetic_repeated
g_mean,2,Random Undersampling + RF,synthetic,overlap_feature_noise_IR=10:1,0.9256661265152668,synthetic_repeated
g_mean,3,Balanced Random Forest,synthetic,clean_IR=10:1,0.923240669237081,synthetic_repeated
pr_auc,1,SMOTE + RF,Credit Card Fraud Detection,real_repeated_split,0.8859114592481275,real_repeated
pr_auc,2,ADASYN + RF,Credit Card Fraud Detection,real_repeated_split,0.8805679209439977,real_repeated
pr_auc,3,Random Oversampling + RF,Credit Card Fraud Detection,real_repeated_split,0.8793842401819512,real_repeated
f1,1,Borderline-SMOTE + RF,Credit Card Fraud Detection,real_repeated_split,0.8850174216027874,real_repeated
f1,2,Baseline RF,Credit Card Fraud Detection,real_repeated_split,0.8825622775800712,real_repeated
f1,3,RF (balanced_subsample),Credit Card Fraud Detection,real_repeated_split,0.8817204301075269,real_repeated
recall,1,EasyEnsemble,Abalone19,real_repeated_split,1.0,real_repeated
recall,2,Random Undersampling + RF,AID362 PubChem Bioassay,real_repeated_split,0.9444444444444444,real_repeated
recall,3,EasyEnsemble,Credit Card Fraud Detection,real_repeated_split,0.9391891891891893,real_repeated
