dataset,scenario,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
AID362 PubChem Bioassay,real_repeated_split,SMOTE-Tomek + RF,0.9870197300103842,0.0019599777869342,0.6009303142004564,0.0427770342738523,0.6015873015873016,0.2182352084289672,0.2037037037037037,0.0848625128695526,0.3035265700483092,0.1222123594958978,0.443540629720681,0.0997921272697695,0.3445990854761366,0.136227899613527,0.8432288923995085,0.0124236810609517,0.2929636778974188,0.0734589259154738,1263.6666666666667,1.1547005383792186,2.333333333333333,1.1547005383792517,14.333333333333334,1.5275252316519468,3.6666666666666665,1.5275252316519468,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,SMOTE + RF,0.9865005192107996,0.0011896613953675,0.5915394067052835,0.0321896313899412,0.546031746031746,0.1351352168494778,0.1851851851851852,0.0641500299099584,0.2757487922705314,0.0884439610346928,0.424938607966243,0.079674784457732,0.3122211158349749,0.093775860826945,0.84961383184132,0.0345095524541003,0.2618055463926401,0.0929850218411088,1263.3333333333333,0.5773502691896586,2.6666666666666665,0.5773502691896257,14.666666666666666,1.1547005383792517,3.333333333333333,1.1547005383792517,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,Random Oversampling + RF,0.9854620976116304,0.002379322790735,0.591012813761629,0.0429506951271433,0.4583333333333333,0.1909406539564933,0.1851851851851852,0.0848625128695526,0.2628205128205128,0.1159175725642636,0.4222427489228574,0.0977470195729727,0.2845509977430362,0.1262846675108365,0.8612793283014452,0.0289004638814606,0.3123050966040308,0.0614635796909218,1262.0,1.7320508075688772,4.0,1.7320508075688772,14.666666666666666,1.5275252316519463,3.333333333333333,1.5275252316519463,3,0,0,0,3
Abalone19,real_repeated_split,Class weight LogisticRegression,0.7863793562117585,0.0252670776895989,0.7435371413247519,0.0400578239532589,0.0257786211258697,0.0022354240524772,0.7000000000000001,0.1,0.0497097242380261,0.0042889410321588,0.740446644093768,0.0436372409736401,0.1051736151843651,0.0146416710524164,0.8256368999731832,0.0423636239070291,0.0363565565716412,0.0108135079909714,978.3333333333334,32.47049943153528,264.6666666666667,32.47049943153529,3.0,1.0,7.0,1.0,3,0,0,0,3
Abalone19,real_repeated_split,SMOTE-ENN + RF,0.976855546687949,0.0048545590824407,0.5254223652453741,0.031074450577147,0.0381263616557734,0.0330588037156721,0.0666666666666666,0.0577350269189625,0.0485008818342151,0.0420238185447755,0.2094145938585122,0.1813583695071528,0.0395020628612144,0.0455337646145185,0.7291499061410566,0.0214676810017085,0.0271648191056357,0.0135886607475565,1223.3333333333333,5.507570547286115,19.666666666666668,5.507570547286102,9.333333333333334,0.5773502691896258,0.6666666666666666,0.5773502691896258,3,0,0,0,3
Abalone19,real_repeated_split,Borderline-SMOTE + RF,0.988826815642458,0.0021115333687666,0.514923572003218,0.0293430255062663,0.0833333333333333,0.1443375672974064,0.0333333333333333,0.0577350269189625,0.0476190476190476,0.0824786098842322,0.1052819750486044,0.1823537299053818,0.0476032518052224,0.0920861882803371,0.7410565835344597,0.1100509366741311,0.0356632866406291,0.0197703117143875,1238.6666666666667,2.3094010767584865,4.333333333333333,2.309401076758503,9.666666666666666,0.5773502691896255,0.3333333333333333,0.5773502691896258,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,Borderline-SMOTE + RF,0.9995630615342002,4.729997640915755e-05,0.90984738182112,0.0274878290212312,0.921263721623434,0.032868689493,0.8198198198198199,0.055030593346264,0.8661186653420891,0.019937887248862,0.905035240879688,0.0306551815494488,0.8681121117045082,0.0171774852479901,0.9605268730832948,0.0058531827679524,0.8602272757502768,0.0209807700243493,85284.33333333333,5.131601439445348,10.666666666666666,5.131601439446884,26.666666666666668,8.144527815247079,121.33333333333331,8.144527815247079,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,Random Oversampling + RF,0.9995669627705018,5.3633131970508346e-05,0.9019801309604344,0.0263649651948487,0.938536094764677,0.0265759913516301,0.8040540540540541,0.0527719572696396,0.8648848410719315,0.0222236554631254,0.896319837186531,0.029696233858098,0.8678731248865198,0.0189803562341895,0.9531478588618516,0.008647093522618,0.8622098438607231,0.0193003610024878,85287.0,4.0,8.0,4.0,29.0,7.810249675906654,119.0,7.810249675906654,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,SMOTE-ENN + RF,0.9995084442259752,6.193020636131143e-05,0.9199375748924372,0.0185871655801007,0.8727848662059188,0.0323655153623016,0.8400900900900901,0.0372133145086898,0.8554120460969776,0.0185446663298348,0.916313712287998,0.0204107818248001,0.8556800333641971,0.0181459790329371,0.960628996133715,0.0090979403514512,0.8523352584242172,0.0190077139052293,85276.66666666667,5.859465277084385,18.33333333333333,5.859465277082316,23.666666666666668,5.507570547286102,124.33333333333331,5.507570547286103,3,0,0,0,3
Mammography,real_repeated_split,SMOTE-Tomek + RF,0.9873820168902137,0.0012046056287116,0.8370988943921504,0.0330025543551225,0.7543716737265124,0.0254542304025639,0.6794871794871794,0.0666173387526491,0.713558627752176,0.0384218732281749,0.8214393799127996,0.0406767540581926,0.7088774204199023,0.0367335427079133,0.943695244503911,0.0222054092974005,0.7568089728629435,0.0553102609203302,3259.6666666666665,3.2145502536642536,17.333333333333332,3.214550253664319,25.0,5.196152422706632,53.0,5.196152422706632,3,0,0,0,3
