method,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,status,roc_auc,pr_auc,dataset,scenario,strategy,strategy_group,threshold_source,seed
ADASYN + RF,0.26,0.983644859813084,0.7863349131121643,0.4375,0.5833333333333334,0.5,0.9893364928909952,0.7596795075467114,0.4971260403635307,835.0,9.0,5.0,7.0,ok,0.9279719589257504,0.4571601996325753,AID362 PubChem Bioassay,threshold_optimization,validation_best_f1,validation_optimized,validation,2
Balanced Bagging,0.74,0.9824766355140186,0.7446682464454977,0.4,0.5,0.4444444444444444,0.9893364928909952,0.7033265574720591,0.4384558045798685,835.0,9.0,6.0,6.0,ok,0.9474229857819904,0.3172192845345916,AID362 PubChem Bioassay,threshold_optimization,train_best_mcc,train_optimized,train,1
Balanced Random Forest,0.81,0.9894859813084113,0.7071484992101106,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.9976303317535544,0.6447319636076021,0.5408424457556489,842.0,2.0,7.0,5.0,ok,0.9576915481832544,0.4529676072942093,AID362 PubChem Bioassay,threshold_optimization,ghost_kappa,ghost,train,2
Baseline RF,0.29,0.9894859813084113,0.7071484992101106,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.9976303317535544,0.6447319636076021,0.5408424457556489,842.0,2.0,7.0,5.0,ok,0.9248617693522906,0.5030908892595007,AID362 PubChem Bioassay,threshold_optimization,train_best_f1,train_optimized,train,0
Borderline-SMOTE + RF,0.28,0.985981308411215,0.7464454976303317,0.5,0.5,0.5,0.9928909952606636,0.7045888855427197,0.4928909952606635,838.0,6.0,6.0,6.0,ok,0.9021030805687204,0.3789219367834839,AID362 PubChem Bioassay,threshold_optimization,train_best_f1,train_optimized,train,0
Class weight LogisticRegression,0.96,0.9672897196261684,0.613744075829384,0.1363636363636363,0.25,0.1764705882352941,0.9774881516587678,0.4943400023411942,0.169015394205399,825.0,19.0,9.0,3.0,ok,0.8063783570300158,0.084958997024354,AID362 PubChem Bioassay,threshold_optimization,ghost_kappa,ghost,train,2
Custom weighted log-loss LR,0.88,0.9871495327102804,0.582740916271722,0.6666666666666666,0.1666666666666666,0.2666666666666666,0.9988151658767772,0.4080063655297503,0.32921303689067,843.0,1.0,10.0,2.0,ok,0.8344194312796209,0.2119207027361596,AID362 PubChem Bioassay,threshold_optimization,validation_best_f1,validation_optimized,validation,2
EasyEnsemble,0.5800000000000001,0.9824766355140186,0.6625197472353871,0.3636363636363636,0.3333333333333333,0.3478260869565217,0.9917061611374408,0.5749510591164668,0.3392917370324272,837.0,7.0,8.0,4.0,ok,0.8923775671406003,0.318640337348123,AID362 PubChem Bioassay,threshold_optimization,train_best_f1,train_optimized,train,0
RF (balanced_subsample),0.18,0.985981308411215,0.7875197472353871,0.5,0.5833333333333334,0.5384615384615384,0.9917061611374408,0.7605887592276835,0.533015031116841,837.0,7.0,5.0,7.0,ok,0.9061512638230648,0.4693092799928637,AID362 PubChem Bioassay,threshold_optimization,ghost_kappa,ghost,train,1
RUSBoost,0.87,0.8878504672897196,0.7377567140600316,0.0714285714285714,0.5833333333333334,0.1272727272727272,0.8921800947867299,0.7214141588751862,0.1755807869731449,753.0,91.0,5.0,7.0,ok,0.768710505529226,0.0526726693174923,AID362 PubChem Bioassay,threshold_optimization,train_best_f1,train_optimized,train,1
