dataset,method,best_score_f1,best_score_pr_auc,best_score_balanced_accuracy,best_score_mcc,best_train_f1,best_params,n_candidates,cv_splits,refit_metric,train_samples_used,train_samples_total,subsampled,status
Credit Card Fraud Detection,SMOTE-Tomek + RF,0.8612818261633012,0.8548701742121545,0.9223204357451599,0.8613006402162547,0.9472137618479083,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 100, 'sampler__smote__k_neighbors': 3, 'sampler__smote__sampling_strategy': 0.1}",24,3,pr_auc,119364,199364,True,ok
Credit Card Fraud Detection,SMOTE + RF,0.8549186434974884,0.8566723730027306,0.922307847522699,0.854898317274948,0.9557083223322559,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 100, 'sampler__k_neighbors': 3, 'sampler__sampling_strategy': 0.1}",24,3,pr_auc,119364,199364,True,ok
Credit Card Fraud Detection,Baseline RF,0.8513250584471516,0.8478251230717572,0.8956147410787952,0.8535592773049209,0.9312350901730623,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",4,3,pr_auc,119364,199364,True,ok
Credit Card Fraud Detection,Balanced Random Forest,0.2452984753012685,0.7659328644030876,0.9371288026838824,0.3522059148582259,0.2752835503950729,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100, 'model__sampling_strategy': 'all'}",4,3,pr_auc,119364,199364,True,ok
Credit Card Fraud Detection,Class weight LogisticRegression,0.12308629338545701,0.7758679890985601,0.9426095307694387,0.2408911207263873,0.13434099918448572,"{'model__clf__C': 1.0, 'model__clf__max_iter': 3000, 'model__clf__solver': 'lbfgs'}",3,3,pr_auc,119364,199364,True,ok
Credit Card Fraud Detection,EasyEnsemble,0.10098834311620701,0.7314141950752483,0.9423249253159026,0.2170536215821431,0.11131567074650599,"{'model__n_estimators': 10, 'model__sampling_strategy': 'auto'}",2,3,pr_auc,119364,199364,True,ok
Mammography,SMOTE-Tomek + RF,0.662280701754386,0.7090324872022963,0.7941336364518113,0.6620826633924319,0.9278061936516583,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 100, 'sampler__smote__k_neighbors': 5, 'sampler__smote__sampling_strategy': 0.1}",24,3,pr_auc,7828,7828,False,ok
Mammography,SMOTE + RF,0.6603220248080062,0.7108847431067499,0.7914667041489517,0.6611770276706149,0.9431811791170682,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 100, 'sampler__k_neighbors': 5, 'sampler__sampling_strategy': 0.1}",24,3,pr_auc,7828,7828,False,ok
Mammography,Baseline RF,0.6225575360445661,0.7022244014562676,0.7433864706738168,0.6471611395674425,0.9096795638877809,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",4,3,pr_auc,7828,7828,False,ok
Mammography,Balanced Random Forest,0.40146955510255794,0.6159379923118596,0.8794322734823578,0.4460784562994737,0.48047691342280524,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100, 'model__sampling_strategy': 'all'}",4,3,pr_auc,7828,7828,False,ok
Mammography,Class weight LogisticRegression,0.2618891896493833,0.4822917856794045,0.8514381166260309,0.325991249496328,0.2612687347186289,"{'model__clf__C': 0.5, 'model__clf__max_iter': 3000, 'model__clf__solver': 'lbfgs'}",3,3,pr_auc,7828,7828,False,ok
Mammography,EasyEnsemble,0.2362479181651295,0.5816324293251834,0.8656677720252267,0.3119673315816102,0.24741786345542524,"{'model__n_estimators': 5, 'model__sampling_strategy': 'auto'}",2,3,pr_auc,7828,7828,False,ok
synthetic_IR_50,SMOTE + RF,0.3830000081002487,0.6924666444424514,0.619,0.4791938384975827,1.0,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 100, 'sampler__k_neighbors': 5, 'sampler__sampling_strategy': 0.1}",24,3,pr_auc,10710,10710,False,ok
synthetic_IR_50,SMOTE-Tomek + RF,0.3830000081002487,0.6924666444424514,0.619,0.4791938384975827,1.0,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 100, 'sampler__smote__k_neighbors': 5, 'sampler__smote__sampling_strategy': 0.1}",24,3,pr_auc,10710,10710,False,ok
synthetic_IR_50,Balanced Random Forest,0.3663274397400875,0.485693466217747,0.8544285714285715,0.40958411248695853,0.4792818358736533,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100, 'model__sampling_strategy': 'all'}",4,3,pr_auc,10710,10710,False,ok
synthetic_IR_50,Baseline RF,0.14021777309448544,0.6158624374720664,0.5380952380952381,0.26832880339306625,1.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",4,3,pr_auc,10710,10710,False,ok
synthetic_IR_50,EasyEnsemble,0.1251493589339154,0.2777468619970575,0.7834285714285715,0.18820052309283816,0.15431867962808724,"{'model__n_estimators': 10, 'model__sampling_strategy': 'auto'}",2,3,pr_auc,10710,10710,False,ok
synthetic_IR_50,Class weight LogisticRegression,0.11999700523492662,0.22888631737707033,0.7617142857142857,0.17519540851176665,0.12215195538327277,"{'model__clf__C': 0.5, 'model__clf__max_iter': 3000, 'model__clf__solver': 'lbfgs'}",3,3,pr_auc,10710,10710,False,ok
