dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,seed
Credit Card Fraud Detection,Baseline RF,0.5,0.8580729360581638,0.9464285714285714,0.7162162162162162,0.8153846153846154,0.8462658179503417,0.8230604030062174,0.9372860565002543,0.8233986566124455,0.9994382219725431,85289.0,6.0,42.0,106.0,ok,real_repeated_split,0
Credit Card Fraud Detection,RF (balanced_subsample),0.5,0.8547004196881094,0.9545454545454546,0.7094594594594594,0.813953488372093,0.8422694764069811,0.8226772597830843,0.9342086605627844,0.8286056451389435,0.9994382219725431,85290.0,5.0,43.0,105.0,ok,real_repeated_split,0
Credit Card Fraud Detection,Class weight LogisticRegression,0.5,0.9386613311828741,0.06813524590163934,0.8986486486486487,0.12666666666666668,0.9378081253083813,0.24416997250465725,0.9792313005895279,0.7129741755902155,0.9785353978675843,83476.0,1819.0,15.0,133.0,ok,real_repeated_split,0
Credit Card Fraud Detection,Custom weighted log-loss LR,0.5,0.8883493772804401,0.8041958041958042,0.777027027027027,0.7903780068728522,0.8813466687113545,0.7901375818140471,0.9769691198907449,0.7439771798735734,0.9992860737567735,85267.0,28.0,33.0,115.0,ok,real_repeated_split,0
Credit Card Fraud Detection,Random Oversampling + RF,0.5,0.8715981735883254,0.9649122807017544,0.7432432432432432,0.8396946564885496,0.8620953474289337,0.8466335163061641,0.9439054521430393,0.8413228888700984,0.9995084442259752,85291.0,4.0,38.0,110.0,ok,real_repeated_split,0
Credit Card Fraud Detection,Random Undersampling + RF,0.5,0.9264529066847491,0.04548611111111111,0.8851351351351351,0.08652575957727873,0.9255311070184483,0.19651908918047786,0.979863328068088,0.6915924484705347,0.967627541167796,82546.0,2749.0,17.0,131.0,ok,real_repeated_split,0
Credit Card Fraud Detection,SMOTE + RF,0.5,0.8985665805321119,0.8939393939393939,0.7972972972972973,0.8428571428571429,0.8928417731727606,0.8439836606238235,0.96723628488093,0.852446023689112,0.9994850368081645,85281.0,14.0,30.0,118.0,ok,real_repeated_split,0
Credit Card Fraud Detection,Borderline-SMOTE + RF,0.5,0.8783490683367581,0.9572649572649573,0.7567567567567568,0.8452830188679246,0.869892174704821,0.8509061934211533,0.9537830946017241,0.8377793225108345,0.9995201479348805,85290.0,5.0,36.0,112.0,ok,real_repeated_split,0
Credit Card Fraud Detection,ADASYN + RF,0.5,0.8951882021537336,0.8931297709923665,0.7905405405405406,0.8387096774193549,0.8890504958629315,0.8400127952886127,0.9668796529691073,0.8538203908639765,0.9994733330992591,85281.0,14.0,31.0,117.0,ok,real_repeated_split,0
Credit Card Fraud Detection,SMOTE-Tomek + RF,0.5,0.8918215477920033,0.90625,0.7837837837837838,0.8405797101449275,0.8852533618429408,0.84254532582128,0.9697936256204619,0.852321048327167,0.9994850368081645,85283.0,12.0,32.0,116.0,ok,real_repeated_split,0
Credit Card Fraud Detection,SMOTE-ENN + RF,0.5,0.8985665805321119,0.8939393939393939,0.7972972972972973,0.8428571428571429,0.8928417731727606,0.8439836606238235,0.9519395722001385,0.8304882629834738,0.9994850368081645,85281.0,14.0,30.0,118.0,ok,real_repeated_split,0
Credit Card Fraud Detection,Balanced Bagging,0.5,0.9307790688278994,0.0611577964519141,0.8851351351351351,0.11441048034934498,0.9296592420264438,0.22916188848419464,0.9750287555273192,0.6992176233853007,0.9762648783399459,83284.0,2011.0,17.0,131.0,ok,real_repeated_split,0
Credit Card Fraud Detection,Balanced Random Forest,0.5,0.9241944491534151,0.13284518828451883,0.8581081081081081,0.23007246376811594,0.9218286041196746,0.33540051920114616,0.9791421426115723,0.7592014567687051,0.9900518474304507,84466.0,829.0,21.0,127.0,ok,real_repeated_split,0
Credit Card Fraud Detection,EasyEnsemble,0.5,0.9365352837449678,0.04633471645919779,0.9054054054054054,0.0881578947368421,0.936017771398509,0.2007620763379589,0.9825104605162053,0.7293988833668997,0.9675573189143639,82537.0,2758.0,14.0,134.0,ok,real_repeated_split,0
Credit Card Fraud Detection,RUSBoost,0.5,0.9054656098152201,0.051260851591566764,0.8378378378378378,0.09661082976236852,0.9029365730855204,0.20330914034609307,0.90546560981522,0.043229170076933034,0.9728590990484884,83000.0,2295.0,24.0,124.0,ok,real_repeated_split,0
Credit Card Fraud Detection,Baseline RF,0.5,0.9188661608440025,0.9323308270676691,0.8378378378378378,0.8825622775800712,0.915286530227013,0.8836334034442028,0.954633244241369,0.8662281549169697,0.9996137776061234,85286.0,9.0,24.0,124.0,ok,real_repeated_split,1
