dataset,scenario,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
AID362 PubChem Bioassay,real_repeated_split,ADASYN + RF,0.9862409138110073,0.0011896613953675992,0.564024925399333,0.016380729951343535,0.5499999999999999,0.18027756377319942,0.12962962962962962,0.03207501495497921,0.20948616600790512,0.05491084580810198,0.35803170342589424,0.04334922851555258,0.2620987309801858,0.07716621977556525,0.8333187057515653,0.004561607328778256,0.29107832486482493,0.06150891754388357,1264.0,1.0,2.0,1.0,15.666666666666666,0.5773502691896258,2.3333333333333335,0.5773502691896258,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,Balanced Bagging,0.8200934579439253,0.005616123482031071,0.7901088292083553,0.04166606006822044,0.05684533526207114,0.005747580754147304,0.7592592592592592,0.08486251286955264,0.10576618314337921,0.010729800191232819,0.7886334048545142,0.04381954294732924,0.17484815064850956,0.02429337104330943,0.8491018664794336,0.01835391997154229,0.17305841030200572,0.0584435992743012,1039.3333333333333,7.505553499465134,226.66666666666666,7.505553499465135,4.333333333333333,1.5275252316519468,13.666666666666666,1.5275252316519465,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,Balanced Random Forest,0.8678608515057112,0.019145788232079245,0.8052044935931192,0.0452296158356129,0.07578318748586564,0.01355621514538161,0.7407407407407408,0.08486251286955263,0.13735170209891687,0.023273917733551436,0.8017907183185112,0.04798642360781774,0.20876572066221485,0.03529877697347907,0.8600432976420338,0.02501679579306923,0.18153988682570618,0.02236161053800873,1101.0,24.24871130596428,165.0,24.24871130596428,4.666666666666667,1.5275252316519465,13.333333333333334,1.5275252316519468,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,Baseline RF,0.9862409138110073,0.0004496497423595056,0.5183868702826049,0.0159247211725213,0.5,0.5,0.037037037037037035,0.032075014954979206,0.06842105263157895,0.05931277720834023,0.15710380434694904,0.13605589356024464,0.13246800926259525,0.12006815663048426,0.8479828564741677,0.009998150095819256,0.28190110647129796,0.027444903106195562,1265.6666666666667,0.5773502691896586,0.3333333333333333,0.5773502691896258,17.333333333333332,0.5773502691896255,0.6666666666666666,0.5773502691896258,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,Borderline-SMOTE + RF,0.9865005192107996,0.0008992994847190112,0.5641565736352466,0.016265528910818856,0.5833333333333334,0.14433756729740643,0.12962962962962962,0.032075014954979206,0.21212121212121213,0.05248638810814778,0.3580756295644803,0.043311137289050734,0.2707006399124469,0.06863036529516403,0.8286744485401675,0.031772185962269384,0.2881225484546048,0.12007625794122162,1264.3333333333333,0.5773502691896586,1.6666666666666667,0.5773502691896258,15.666666666666666,0.5773502691896255,2.3333333333333335,0.5773502691896257,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,Class weight LogisticRegression,0.9029075804776739,0.019303542518194487,0.6769352290679306,0.05187825870766451,0.06704930912402664,0.019629406431992527,0.4444444444444445,0.09622504486493762,0.11626284867048929,0.03271429770672377,0.6335220452031997,0.06949253326007443,0.14352720101958413,0.046483758555544104,0.7486250073137909,0.09170823254985322,0.10471215201368411,0.019237028843323435,1151.3333333333333,24.19366308216543,114.66666666666667,24.193663082165408,10.0,1.7320508075688772,8.0,1.7320508075688772,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,Custom weighted log-loss LR,0.971183800623053,0.0,0.60202738283307,0.05476566614007372,0.14288435232801758,0.05349053280658673,0.2222222222222222,0.1111111111111111,0.17341223752373577,0.07376544000036497,0.4564270839918589,0.12088614063705015,0.1637268582045381,0.07825964788111554,0.7546223158387454,0.11077195225430278,0.16223488249523818,0.04989129899407832,1243.0,2.0,23.0,2.0,14.0,2.0,4.0,2.0,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,EasyEnsemble,0.7165109034267912,0.04082661190679492,0.7558364051255047,0.01318674670994969,0.03852569935372483,0.00284403693357203,0.7962962962962963,0.06415002990995843,0.07344527182056186,0.0049105918254739,0.7535387729071735,0.01194863225774674,0.1328317604957453,0.004336507137176235,0.8274164765081037,0.013640941554824123,0.10951934204874914,0.0244404882786045,905.6666666666666,53.528808443055546,360.3333333333333,53.528808443055524,3.6666666666666665,1.1547005383792517,14.333333333333334,1.1547005383792517,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,RF (balanced_subsample),0.9862409138110073,0.0011896613953675448,0.5275144813059506,0.027975482451099945,0.5,0.5,0.05555555555555555,0.05555555555555555,0.10000000000000002,0.1,0.18964749532622152,0.17135382468861685,0.16372876783169085,0.16728830482655202,0.846403077643204,0.011212499422431419,0.26051577454065306,0.15566148535532956,1265.3333333333333,0.5773502691896586,0.6666666666666666,0.5773502691896258,17.0,1.0,1.0,1.0,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,RUSBoost,0.7694704049844237,,0.5818852027382833,,0.023972602739726026,,0.3888888888888889,,0.04516129032258064,,0.5489470029122293,,0.04593474056670711,,0.5674697209057399,,0.019432925778720536,,981.0,,285.0,,11.0,,7.0,,1,2,0,0,3
