method,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,status,roc_auc,pr_auc,dataset,scenario,experiment,n_samples,ir,seed,fit_sec,predict_sec,total_sec
Baseline RF,0.5,0.938,0.6647080386406762,0.9574468085106383,0.33088235294117646,0.4918032786885246,0.998533724340176,0.574801868647618,0.5429248180715828,1362.0,2.0,91.0,45.0,ok,0.9342547869587718,0.7410890094923829,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.2354,0.0265,0.262
RF (balanced_subsample),0.5,0.9346666666666666,0.6430157840262205,0.975,0.2867647058823529,0.4431818181818182,0.999266862170088,0.5353078253007207,0.5097816313468,1363.0,1.0,97.0,39.0,ok,0.9646449672244265,0.8308334537887146,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.2643,0.026,0.2903
Class weight LogisticRegression,0.5,0.7486666666666667,0.7360272554769709,0.2242562929061785,0.7205882352941176,0.34205933682373474,0.751466275659824,0.7358653120379813,0.2983056236215024,1025.0,339.0,38.0,98.0,ok,0.8038532861825082,0.4769139207394015,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.006,0.001,0.007
Custom weighted log-loss LR,0.5,0.8833333333333333,0.7471860445057789,0.4010152284263959,0.5808823529411765,0.4744744744744745,0.9134897360703812,0.7284435923777334,0.42026697303615124,1246.0,118.0,57.0,79.0,ok,0.8066348973607038,0.5059810302461107,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.0059,0.0007,0.0067
Random Oversampling + RF,0.5,0.9426666666666667,0.6904433327583233,0.9629629629629629,0.38235294117647056,0.5473684210526316,0.998533724340176,0.6178934425654324,0.5870720191270627,1362.0,2.0,84.0,52.0,ok,0.9686556624115923,0.8303588664026997,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.2535,0.0253,0.2787
Random Undersampling + RF,0.5,0.8973333333333333,0.8608008452647922,0.4625,0.8161764705882353,0.5904255319148937,0.905425219941349,0.8596433914090812,0.5651754488742577,1235.0,129.0,25.0,111.0,ok,0.9465159780921166,0.7649227298098441,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.1396,0.0257,0.1653
SMOTE + RF,0.5,0.9566666666666667,0.8007482318440573,0.8736842105263158,0.6102941176470589,0.7186147186147186,0.9912023460410557,0.7777692210333479,0.7091037024461052,1352.0,12.0,53.0,83.0,ok,0.9730652708297396,0.8344763164797322,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.4091,0.028,0.4371
Borderline-SMOTE + RF,0.5,0.9546666666666667,0.8029584267724685,0.84,0.6176470588235294,0.711864406779661,0.9882697947214076,0.7812822358365834,0.6974701956686594,1348.0,16.0,52.0,84.0,ok,0.962658487148525,0.7757728781051143,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.3793,0.0256,0.4049
ADASYN + RF,0.5,0.9573333333333334,0.8309039158185269,0.8214285714285714,0.6764705882352942,0.7419354838709677,0.9853372434017595,0.8164261538278471,0.7229442320928031,1344.0,20.0,44.0,92.0,ok,0.9683349146110057,0.8016002562991899,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.3655,0.026,0.3915
SMOTE-Tomek + RF,0.5,0.9566666666666667,0.8007482318440573,0.8736842105263158,0.6102941176470589,0.7186147186147186,0.9912023460410557,0.7777692210333479,0.7091037024461052,1352.0,12.0,53.0,83.0,ok,0.9730652708297396,0.8344763164797322,synthetic_scalability,n_samples=5000,scalability,5000,10,0,0.4156,0.0254,0.441
