dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,experiment,parameter,parameter_value,ir,train_c0,train_c1,train_ir_actual,test_c0,test_c1,test_ir_actual,class_sep,feature_noise_std,flip_y,seed
synthetic,Baseline RF,0.5,0.5111111111111111,1.0,0.022222222222222223,0.043478260869565216,0.14907119849998599,0.14763464883937313,0.879137037037037,0.3363788734278826,0.9808278867102397,4500.0,0.0,88.0,2.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
synthetic,RF (balanced_subsample),0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.9177493827160493,0.31361451218867475,0.9803921568627451,4500.0,0.0,90.0,0.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
synthetic,Class weight LogisticRegression,0.5,0.6455555555555555,0.035691922354414526,0.6333333333333333,0.06757557794902193,0.6454398442865087,0.08473844242794903,0.6595358024691358,0.03367316142044442,0.6572984749455337,2960.0,1540.0,33.0,57.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
synthetic,Custom weighted log-loss LR,0.5,0.4998888888888889,0.0,0.0,0.0,0.0,-0.002087641727957723,0.6216962962962962,0.041080923395359195,0.9801742919389979,4499.0,1.0,90.0,0.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
synthetic,Random Oversampling + RF,0.5,0.4998888888888889,0.0,0.0,0.0,0.0,-0.002087641727957723,0.9251296296296296,0.33990954994952616,0.9801742919389979,4499.0,1.0,90.0,0.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
synthetic,Random Undersampling + RF,0.5,0.7786666666666666,0.0637915543575921,0.7888888888888889,0.11803823773898586,0.7785995658556568,0.18029870295709846,0.860583950617284,0.22557301741382169,0.7688453159041394,3458.0,1042.0,19.0,71.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
synthetic,SMOTE + RF,0.5,0.5802222222222222,0.3488372093023256,0.16666666666666666,0.22556390977443608,0.40697620278049385,0.23091677873670047,0.9287703703703705,0.26978411108157263,0.9775599128540305,4472.0,28.0,75.0,15.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
synthetic,Borderline-SMOTE + RF,0.5,0.5826666666666667,0.7142857142857143,0.16666666666666666,0.2702702702702703,0.4079760341545131,0.3396782246680918,0.9264925925925926,0.3145394084505737,0.9823529411764705,4494.0,6.0,75.0,15.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
synthetic,ADASYN + RF,0.5,0.5964444444444444,0.36,0.2,0.2571428571428571,0.4456206657884908,0.2576450449028578,0.9254765432098765,0.27093896266250184,0.9773420479302832,4468.0,32.0,72.0,18.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
synthetic,SMOTE-Tomek + RF,0.5,0.5802222222222222,0.3488372093023256,0.16666666666666666,0.22556390977443608,0.40697620278049385,0.23091677873670047,0.9287703703703705,0.26978411108157263,0.9775599128540305,4472.0,28.0,75.0,15.0,ok,class_sep:class_sep=0.5,class_sep,class_sep,0.5,50,10500,210,50.0,4500,90,50.0,0.5,0.0,0.0,0
