dataset,scenario,experiment,parameter,parameter_value,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,ADASYN + RF,0.9777051561365288,0.004477287622889842,0.6184074074074074,0.02313309139945355,0.4180416156670746,0.165411101843171,0.24444444444444444,0.04444444444444443,0.304393513905245,0.07508830737107987,0.49117536919416377,0.04542405664412366,0.3068476348273181,0.08966401381287006,0.9388041152263374,0.01567594411182902,0.332188551208055,0.10921181659215994,4465.666666666667,18.61003313627704,34.333333333333336,18.610033136277146,68.0,4.0,22.0,4.0,3,0,0,0,3
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,Balanced Bagging,0.8901960784313725,0.010847398069285058,0.8042592592592591,0.012683387274588813,0.1192381927605314,0.0118745053170556,0.7148148148148148,0.016972502573910513,0.20426506234205669,0.018066693998830183,0.7992477224577884,0.013134628035278564,0.26198734154716424,0.019496360192044794,0.9033341563786008,0.016083578021992964,0.28291946497457826,0.046555791725503254,4021.6666666666665,48.78865988458113,478.3333333333333,48.7886598845811,25.666666666666668,1.5275252316519472,64.33333333333333,1.5275252316519485,3,0,0,0,3
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,Balanced Random Forest,0.9273057371096587,0.023127912039927968,0.7941481481481482,0.028021449749977827,0.17229791586490786,0.049089014372260105,0.6555555555555556,0.06666666666666665,0.26992955614068054,0.059721563602969624,0.7810411985418474,0.03476899266183874,0.3093637318010978,0.0502413945575004,0.9196720164609054,0.010620874596210939,0.3149093868548454,0.07442005934259072,4197.333333333333,109.55059713818706,302.6666666666667,109.55059713818696,31.0,6.0,59.0,6.0,3,0,0,0,3
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,Baseline RF,0.9807552650689906,0.0001257843723724884,0.5092592592592592,0.0032075014954978938,1.0,0.0,0.01851851851851852,0.006415002990995841,0.036311514572384136,0.012413168711673748,0.134517217446306,0.02520823463736859,0.13321712802554414,0.024971878568733605,0.917525925925926,0.03329488017514336,0.4591608925156699,0.11371669657865187,4500.0,0.0,0.0,0.0,88.33333333333333,0.5773502691896278,1.6666666666666667,0.5773502691896258,3,0,0,0,3
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,Borderline-SMOTE + RF,0.9832970225127088,0.0018271235476266102,0.6067407407407407,0.032809275512738496,0.7548945307565997,0.1263459751794205,0.2148148148148148,0.06510516974535906,0.3334495028206996,0.09037949051403657,0.45981978518326233,0.06837085385567211,0.3964284396261291,0.09349841664751529,0.9479300411522633,0.019768341113238382,0.42982488205271413,0.12484019905179145,4494.0,3.0,6.0,3.0,70.66666666666667,5.859465277082317,19.333333333333332,5.859465277082316,3,0,0,0,3
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,Class weight LogisticRegression,0.6934640522875816,0.032884615595464725,0.6803333333333333,0.03861538745303669,0.0421854491613645,0.006834993405798523,0.6666666666666666,0.048432210483785286,0.07932234485816535,0.012425025015108391,0.680084941913447,0.03872398714037268,0.10844943280369203,0.025843632624287783,0.7316345679012346,0.06493986685361619,0.05548039777502459,0.019532571263562934,3123.0,147.42116537322585,1377.0,147.42116537322585,30.0,4.358898943540674,60.0,4.358898943540674,3,0,0,0,3
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,Custom weighted log-loss LR,0.9787944807552651,0.0015456642450103926,0.520962962962963,0.01919437074542317,0.18333333333333335,0.1755942292142123,0.044444444444444446,0.040061680838488774,0.07140974967061924,0.06504508719474657,0.1712204807202672,0.14985387772897896,0.08394597848761602,0.08057635419337124,0.7052995884773662,0.07373293666534893,0.09395878221779876,0.05542017376424975,4488.666666666667,9.60902353693307,11.333333333333334,9.60902353693305,86.0,3.605551275463989,4.0,3.605551275463989,3,0,0,0,3
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,EasyEnsemble,0.6960058097312999,0.030966211859805363,0.6961481481481481,0.051704924107426505,0.04429043519232337,0.008171509482512117,0.6962962962962963,0.07398142353865989,0.08326153824465542,0.014989120517525765,0.6958895610041725,0.05191788918107956,0.1181129032769118,0.03330044192917156,0.7574962962962962,0.05870245344049032,0.08011593785497208,0.02353302053863543,3132.0,135.69082503986775,1368.0,135.69082503986775,27.333333333333332,6.6583281184793925,62.666666666666664,6.658328118479393,3,0,0,0,3
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,RF (balanced_subsample),0.9805374001452433,0.0002515687447449768,0.5037037037037037,0.006415002990995835,0.3333333333333333,0.5773502691896258,0.007407407407407408,0.012830005981991684,0.014492753623188406,0.025102185616940248,0.049690399499995326,0.08606629658238704,0.04921154961312438,0.08523690424912794,0.9402074074074074,0.019517012654602515,0.4554232221393737,0.13476624420242336,4500.0,0.0,0.0,0.0,89.33333333333333,1.1547005383792495,0.6666666666666666,1.1547005383792517,3,0,0,0,3
synthetic,class_sep:class_sep=0.5,class_sep,class_sep,0.5,RUSBoost,0.7422657952069717,,0.5473333333333333,,0.02683982683982684,,0.34444444444444444,,0.04979919678714859,,0.5083403156776077,,0.0302461592275436,,0.5473333333333334,,0.02209885974591857,,3376.0,,1124.0,,59.0,,31.0,,1,2,0,0,3
