dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,experiment,parameter,parameter_value,ir,train_c0,train_c1,train_ir_actual,test_c0,test_c1,test_ir_actual,class_sep,feature_noise_std,flip_y,seed
synthetic,Baseline RF,0.5,0.6776666666666666,0.9696969696969697,0.35555555555555557,0.5203252032520326,0.5962185364527646,0.5831321381556697,0.9600592592592592,0.7953208896129237,0.9871459694989106,4499,1,58,32,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,RF (balanced_subsample),0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5773502691896257,0.5735393346764044,0.968958024691358,0.7822037139552652,0.9869281045751634,4500,0,60,30,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Class weight LogisticRegression,0.5,0.8067777777777778,0.08255813953488372,0.7888888888888889,0.14947368421052631,0.8065794259528136,0.21801067669512061,0.9046246913580247,0.22328440888970846,0.8239651416122005,3711,789,19,71,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Custom weighted log-loss LR,0.5,0.6715555555555556,0.36363636363636365,0.35555555555555557,0.3595505617977528,0.5925629622221852,0.3469111130864218,0.9024123456790124,0.3544509351782563,0.9751633986928104,4444,56,58,32,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Random Oversampling + RF,0.5,0.7166666666666667,1.0,0.43333333333333335,0.6046511627906976,0.6582805886043833,0.6545817426002275,0.9791185185185186,0.7722166260691217,0.9888888888888889,4500,0,51,39,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Random Undersampling + RF,0.5,0.8844444444444444,0.12903225806451613,0.8888888888888888,0.22535211267605634,0.8844332774281066,0.3118889573279179,0.9538592592592592,0.5196509625641047,0.8801742919389978,3960,540,10,80,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,SMOTE + RF,0.5,0.8400000000000001,0.6078431372549019,0.6888888888888889,0.6458333333333334,0.8262962132908304,0.6396021490668313,0.9793790123456791,0.6974379949579614,0.9851851851851852,4460,40,28,62,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Borderline-SMOTE + RF,0.5,0.7863333333333333,0.6933333333333334,0.5777777777777777,0.6303030303030303,0.7581719404976847,0.6262819676392042,0.9555,0.6792376182744446,0.9867102396514161,4477,23,38,52,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,ADASYN + RF,0.5,0.8118888888888889,0.57,0.6333333333333333,0.6,0.7920110362119214,0.5924261768825541,0.9793456790123456,0.6321651712555302,0.983442265795207,4457,43,33,57,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,SMOTE-Tomek + RF,0.5,0.8400000000000001,0.6078431372549019,0.6888888888888889,0.6458333333333334,0.8262962132908304,0.6396021490668313,0.9793790123456791,0.6974379949579614,0.9851851851851852,4460,40,28,62,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,SMOTE-ENN + RF,0.5,0.8488888888888889,0.5161290322580645,0.7111111111111111,0.5981308411214953,0.8376333503566042,0.5967252896603478,0.9784765432098765,0.6539062263377087,0.9812636165577342,4440,60,26,64,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Balanced Bagging,0.5,0.8936666666666666,0.20052083333333334,0.8555555555555555,0.32489451476793246,0.892853657841523,0.3942628925269032,0.9621283950617284,0.40587781694743885,0.9302832244008714,4193,307,13,77,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Balanced Random Forest,0.5,0.876,0.2153392330383481,0.8111111111111111,0.34032634032634035,0.873593402046264,0.3986575107069349,0.9651950617283951,0.5361089008566976,0.9383442265795207,4234,266,17,73,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,EasyEnsemble,0.5,0.8382222222222222,0.10136986301369863,0.8222222222222222,0.18048780487804877,0.8380695041744214,0.2564510984068623,0.9095283950617284,0.300780948237563,0.85359477124183,3844,656,16,74,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,RUSBoost,0.5,0.7197777777777778,0.06958762886597938,0.6,0.12471131639722864,0.7097417370659086,0.16259982734575637,0.7811629629629628,0.07783926227391436,0.8348583877995642,3778,722,36,54,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Baseline RF,0.5,0.7611111111111111,1.0,0.5222222222222223,0.6861313868613139,0.7226494462892933,0.7192213364734481,0.9637580246913581,0.7994764078123845,0.9906318082788671,4500,0,43,47,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,RF (balanced_subsample),0.5,0.7277777777777777,1.0,0.45555555555555555,0.6259541984732825,0.6749485577105528,0.6713035782524505,0.9600666666666666,0.8184521972615714,0.9893246187363834,4500,0,49,41,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Class weight LogisticRegression,0.5,0.8744444444444444,0.13824057450628366,0.8555555555555555,0.23802163833075735,0.8742404110405194,0.31798247850272865,0.9374888888888889,0.5753172482778067,0.8925925925925926,4020,480,13,77,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Custom weighted log-loss LR,0.5,0.7955555555555556,0.574468085106383,0.6,0.5869565217391305,0.7711463328491336,0.5786547951928654,0.9320197530864197,0.62781738644323,0.983442265795207,4460,40,36,54,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Random Oversampling + RF,0.5,0.7833333333333333,1.0,0.5666666666666667,0.723404255319149,0.752772652709081,0.7495316889958615,0.9584246913580247,0.8260186530901744,0.9915032679738562,4500,0,39,51,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Random Undersampling + RF,0.5,0.9053333333333333,0.18518518518518517,0.8888888888888888,0.3065134099616858,0.9051839728427354,0.38493350270811044,0.9569802469135803,0.7362117340350799,0.9211328976034858,4148,352,10,80,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,SMOTE + RF,0.5,0.8758888888888889,0.8,0.7555555555555555,0.7771428571428571,0.8675835605680303,0.7731435464363824,0.9736716049382717,0.835578911358025,0.9915032679738562,4483,17,22,68,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Borderline-SMOTE + RF,0.5,0.8483333333333334,0.8076923076923077,0.7,0.75,0.8352644291879469,0.7473442477958764,0.9755950617283952,0.8173126633495231,0.9908496732026144,4485,15,27,63,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,ADASYN + RF,0.5,0.8757777777777778,0.7906976744186046,0.7555555555555555,0.7727272727272727,0.867486791446033,0.7684934752409264,0.9730148148148148,0.8121777089608513,0.9912854030501089,4482,18,22,68,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,SMOTE-Tomek + RF,0.5,0.8758888888888889,0.8,0.7555555555555555,0.7771428571428571,0.8675835605680303,0.7731435464363824,0.9736716049382717,0.835578911358025,0.9915032679738562,4483,17,22,68,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,SMOTE-ENN + RF,0.5,0.8914444444444445,0.7244897959183674,0.7888888888888889,0.7553191489361702,0.8855255815364994,0.7509218291597609,0.9676925925925927,0.8203800711192242,0.9899782135076253,4473,27,19,71,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Balanced Bagging,0.5,0.9037777777777778,0.22674418604651161,0.8666666666666667,0.35944700460829493,0.9030155242502961,0.42523666612529276,0.9495407407407408,0.6156768092653175,0.9394335511982571,4234,266,12,78,ok,dimensionality:n_features=10,dimensionality,n_features,10,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
