IR_target,n_samples_generated,n_minority_target,class_sep,feature_noise_std,flip_y,Train_size,Test_size,Train_c0,Train_c1,Train_IR_actual,Test_c0,Test_c1,Test_IR_actual,noise,Method,Holdout_Accuracy,Holdout_Balanced Accuracy,Holdout_Precision,Holdout_Recall,Holdout_F1,Holdout_Specificity,Holdout_G-Mean,Holdout_MCC,Holdout_ROC-AUC,Holdout_PR-AUC,Holdout_OK,Train_after_size,Train_after_c0,Train_after_c1,Train_after_IR,CV_F1_mean,CV_F1_std,CV_MCC_mean,CV_MCC_std,CV_PR-AUC_mean,CV_PR-AUC_std,CV_ROC-AUC_mean,CV_ROC-AUC_std,CV_OK,Holdout_error
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,SMOTE + RF,0.963030303030303,0.8746666666666667,0.8156028368794326,0.7666666666666667,0.7903780068728522,0.9826666666666667,0.8679733738875737,0.7705700675287911,0.98018,0.8859803410067397,True,7000.0,3500.0,3500.0,1.0,0.7489715930435387,0.08885905661407095,0.7336795501149885,0.08849729225911762,0.8439765452077814,0.06470500621249493,0.9723183673469388,0.015472447869208969,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,SMOTE-Tomek + RF,0.963030303030303,0.8746666666666667,0.8156028368794326,0.7666666666666667,0.7903780068728522,0.9826666666666667,0.8679733738875737,0.7705700675287911,0.98018,0.8859803410067397,True,7000.0,3500.0,3500.0,1.0,0.7489715930435387,0.08885905661407095,0.7336795501149885,0.08849729225911762,0.8439765452077814,0.06470500621249493,0.9723183673469388,0.015472447869208969,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,SMOTE-ENN + RF,0.9606060606060606,0.8913333333333333,0.7707006369426752,0.8066666666666666,0.7882736156351792,0.976,0.8873030297855782,0.766811057533497,0.9799622222222222,0.8617315361278569,True,6791.0,3291.0,3500.0,0.9402857142857143,0.7363534568818273,0.058193425562226286,0.7130026247096571,0.060383541623310784,0.8214212411896347,0.06288081112441489,0.9689326530612246,0.015977223219557867,True,
50,15300,300,1.0,0.0,0.0,10710,4590,10500,210,50.0,4500,90,50.0,clean,SMOTE-ENN + RF,0.9880174291938998,0.8142222222222222,0.7215189873417721,0.6333333333333333,0.6745562130177515,0.9951111111111111,0.7938746985746786,0.669953165931375,0.984388888888889,0.704772057316807,True,20743.0,10243.0,10500.0,0.9755238095238096,0.5257117609424405,0.0777355674312372,0.5247969715785619,0.07554916450074947,0.5998823257876437,0.0627738392289603,0.9791485260770975,0.005114299206703391,True,
50,15300,300,1.0,0.0,0.0,10710,4590,10500,210,50.0,4500,90,50.0,clean,ADASYN + RF,0.9877995642701525,0.7923333333333333,0.7361111111111112,0.5888888888888889,0.654320987654321,0.9957777777777778,0.7657692009579665,0.6523737600468754,0.9853592592592593,0.7115314561463112,True,20990.0,10500.0,10490.0,1.0009532888465205,0.5377230486507917,0.0591687364489683,0.5476509102027931,0.05914008063723556,0.6271984105989661,0.058168904060590505,0.9807244897959183,0.004663733214370175,True,
50,15300,300,1.0,0.0,0.0,10710,4590,10500,210,50.0,4500,90,50.0,clean,SMOTE + RF,0.9882352941176471,0.7816666666666667,0.7727272727272727,0.5666666666666667,0.6538461538461539,0.9966666666666667,0.7515169843574913,0.6560843760248752,0.9859827160493827,0.7341800948275372,True,21000.0,10500.0,10500.0,1.0,0.5157387007224613,0.07102396007427053,0.5262951994998166,0.06867284297070732,0.6334725273838737,0.06773889358508145,0.9807664399092971,0.003816055031887821,True,
100,20200,200,1.0,0.0,0.0,14140,6060,14000,140,100.0,6000,60,100.0,clean,ADASYN + RF,0.9924092409240924,0.7156666666666667,0.6842105263157895,0.43333333333333335,0.5306122448979592,0.998,0.6576219785459323,0.5410060204861965,0.9850291666666667,0.5414181043705164,True,28016.0,14000.0,14016.0,0.9988584474885844,0.3601432960817903,0.01688530959167696,0.3855608231699822,0.013270210856149114,0.4283052466414848,0.038123666538782075,0.9715905612244897,0.0063781805811712975,True,
100,20200,200,1.0,0.0,0.0,14140,6060,14000,140,100.0,6000,60,100.0,clean,SMOTE + RF,0.9915841584158416,0.69875,0.6153846153846154,0.4,0.48484848484848486,0.9975,0.6316644678941503,0.49217751167747886,0.9847402777777777,0.5358652474223635,True,28000.0,14000.0,14000.0,1.0,0.35294388538290977,0.05274003060137122,0.3781348915438535,0.05107675411956366,0.4378702965655079,0.03361465387234363,0.9707002551020409,0.006713477325568045,True,
100,20200,200,1.0,0.0,0.0,14140,6060,14000,140,100.0,6000,60,100.0,clean,SMOTE-Tomek + RF,0.9915841584158416,0.69875,0.6153846153846154,0.4,0.48484848484848486,0.9975,0.6316644678941503,0.49217751167747886,0.9847402777777777,0.5358652474223635,True,28000.0,14000.0,14000.0,1.0,0.35294388538290977,0.05274003060137122,0.3781348915438535,0.05107675411956366,0.4378702965655079,0.03361465387234363,0.9707002551020409,0.006713477325568045,True,
1000,50050,50,1.0,0.0,0.0,35035,15015,35000,35,1000.0,15000,15,1000.0,clean,Custom weighted log-loss LR,0.9991341991341991,0.5666666666666667,1.0,0.13333333333333333,0.23529411764705882,1.0,0.3651483716701107,0.364990243484954,0.8337022222222222,0.23944929569009032,True,35035.0,35000.0,35.0,1000.0,0.16666666666666666,0.16480441082434807,0.19376108774195674,0.19867760908280482,,,,,True,
1000,50050,50,1.0,0.0,0.0,35035,15015,35000,35,1000.0,15000,15,1000.0,clean,Balanced Random Forest,0.9564435564435565,0.845,0.01664145234493192,0.7333333333333333,0.03254437869822485,0.9566666666666667,0.8375891329020186,0.10625592322638852,0.9232644444444444,0.09137170699460848,True,35035.0,35000.0,35.0,1000.0,0.027521033702069098,0.010621354472620134,0.08482115874474705,0.03828989504625277,0.0994315282375631,0.07270651310878161,0.8468244897959183,0.12494244829222831,True,
1000,50050,50,1.0,0.0,0.0,35035,15015,35000,35,1000.0,15000,15,1000.0,clean,Balanced Bagging,0.9200799200799201,0.7602,0.007481296758104738,0.6,0.014778325123152709,0.9204,0.7431285218587697,0.06055743175694984,0.8615977777777778,0.020604102869689105,True,35035.0,35000.0,35.0,1000.0,0.015655763596999512,0.006506339313741157,0.06052576899489574,0.024639954892846982,0.0832334088617213,0.0729881144586784,0.8217877551020407,0.09737498684624794,True,
10,5500,500,0.7,0.15,0.0,3850,1650,3500,350,10.0,1500,150,10.0,overlap_feature_noise,ADASYN + RF,0.9521212121212121,0.8296666666666667,0.7669172932330827,0.68,0.7208480565371025,0.9793333333333333,0.8160555536644958,0.6962699959474095,0.9639866666666667,0.7855500034568957,True,6955.0,3500.0,3455.0,1.0130246020260492,0.6202074679749519,0.07812607947913476,0.5931835905339105,0.08021301602713159,0.700567905293321,0.09611890236989505,0.9500142857142858,0.019863124505442233,True,
10,5500,500,0.7,0.15,0.0,3850,1650,3500,350,10.0,1500,150,10.0,overlap_feature_noise,Borderline-SMOTE + RF,0.9496969696969697,0.8013333333333333,0.7815126050420168,0.62,0.6914498141263941,0.9826666666666667,0.7805468168747685,0.6697417219866783,0.9633177777777778,0.7839405550651906,True,7000.0,3500.0,3500.0,1.0,0.6287475259407872,0.08969928234537221,0.6100074388101232,0.0847200768017044,0.7190090394598648,0.0829697782476482,0.9482857142857144,0.026434598635082705,True,
10,5500,500,0.7,0.15,0.0,3850,1650,3500,350,10.0,1500,150,10.0,overlap_feature_noise,SMOTE-ENN + RF,0.9387878787878788,0.8223333333333334,0.6580645161290323,0.68,0.6688524590163935,0.9646666666666667,0.8099218069254176,0.6352432056349118,0.9544333333333334,0.723601088609021,True,6653.0,3155.0,3498.0,0.9019439679817038,0.6345570985047916,0.07412838491899906,0.6008791767848862,0.07691496254081089,0.6734817319284356,0.0986591210511432,0.9406816326530612,0.02760012132599232,True,
50,15300,300,0.7,0.15,0.0,10710,4590,10500,210,50.0,4500,90,50.0,overlap_feature_noise,SMOTE + RF,0.983442265795207,0.6812222222222222,0.6346153846153846,0.36666666666666664,0.4647887323943662,0.9957777777777778,0.6042503773424709,0.47482660103196006,0.9642592592592593,0.5283373913795797,True,21000.0,10500.0,10500.0,1.0,0.3225930214876419,0.020087505726634015,0.32851394361049047,0.02741652977028102,0.3944545939349456,0.040766529303748335,0.9579727891156462,0.005407814561128075,True,
50,15300,300,0.7,0.15,0.0,10710,4590,10500,210,50.0,4500,90,50.0,overlap_feature_noise,SMOTE-Tomek + RF,0.983442265795207,0.6812222222222222,0.6346153846153846,0.36666666666666664,0.4647887323943662,0.9957777777777778,0.6042503773424709,0.47482660103196006,0.9642592592592593,0.5283373913795797,True,21000.0,10500.0,10500.0,1.0,0.3225930214876419,0.020087505726634015,0.32851394361049047,0.02741652977028102,0.3944545939349456,0.040766529303748335,0.9579727891156462,0.005407814561128075,True,
50,15300,300,0.7,0.15,0.0,10710,4590,10500,210,50.0,4500,90,50.0,overlap_feature_noise,SMOTE-ENN + RF,0.979520697167756,0.7173333333333334,0.47619047619047616,0.4444444444444444,0.45977011494252873,0.9902222222222222,0.6633994011393881,0.44962309581036286,0.9588827160493827,0.4909551479758449,True,20512.0,10012.0,10500.0,0.9535238095238096,0.3304921557323152,0.0321605333181545,0.32320746327923894,0.03700861088503624,0.3556635990487959,0.04236385311559354,0.9536995464852607,0.00533599841629752,True,
100,20200,200,0.7,0.15,0.0,14140,6060,14000,140,100.0,6000,60,100.0,overlap_feature_noise,ADASYN + RF,0.98993399339934,0.5989166666666667,0.48,0.2,0.2823529411764706,0.9978333333333333,0.44672885139272867,0.30559206798157573,0.9691208333333333,0.36074752752574335,True,27975.0,14000.0,13975.0,1.0017889087656529,0.20538605185664008,0.04789089974371608,0.23994472572413633,0.05695713890352852,0.23413620610060137,0.024670274866911344,0.9306033163265306,0.007828455281798916,True,
100,20200,200,0.7,0.15,0.0,14140,6060,14000,140,100.0,6000,60,100.0,overlap_feature_noise,SMOTE-ENN + RF,0.9897689768976897,0.5988333333333333,0.46153846153846156,0.2,0.27906976744186046,0.9976666666666667,0.44669154159591307,0.29943003572467003,0.9676583333333334,0.34188779715669604,True,27661.0,13661.0,14000.0,0.9757857142857143,0.17717146296093664,0.05678927037690947,0.19519958212314242,0.06869232331676454,0.22144129664167092,0.028378186043205727,0.9335357142857144,0.009334920226278706,True,
100,20200,200,0.7,0.15,0.0,14140,6060,14000,140,100.0,6000,60,100.0,overlap_feature_noise,SMOTE + RF,0.9904290429042905,0.5909166666666666,0.55,0.18333333333333332,0.275,0.9985,0.42785316795991274,0.31389997668722186,0.9704777777777778,0.36945408318719314,True,28000.0,14000.0,14000.0,1.0,0.17842191594513576,0.06654417411150156,0.2139160242767913,0.08666804338991484,0.2319676730409447,0.021580087429423318,0.9334872448979592,0.007680369433195397,True,
1000,50050,50,0.7,0.15,0.0,35035,15015,35000,35,1000.0,15000,15,1000.0,overlap_feature_noise,Balanced Random Forest,0.9531135531135531,0.7434333333333334,0.011347517730496455,0.5333333333333333,0.022222222222222223,0.9535333333333333,0.7131276962165409,0.07270879133483492,0.885368888888889,0.029758634040006022,True,35035.0,35000.0,35.0,1000.0,0.016461422388253197,0.01131442372868073,0.052306577291344414,0.04125052136145469,0.10426292503453094,0.0813441344694614,0.8098204081632654,0.13471474492036412,True,
1000,50050,50,0.7,0.15,0.0,35035,15015,35000,35,1000.0,15000,15,1000.0,overlap_feature_noise,Balanced Bagging,0.8938394938394938,0.7803666666666667,0.006253908692933083,0.6666666666666666,0.012391573729863693,0.8940666666666667,0.7720391469637045,0.05742643763620814,0.8712511111111111,0.008196886603373782,True,35035.0,35000.0,35.0,1000.0,0.009199616944779582,0.004805613906083867,0.03476334747236797,0.019234829592782124,0.03402555028214006,0.05537194938090546,0.7307897959183673,0.11290318203274671,True,
1000,50050,50,0.7,0.15,0.0,35035,15015,35000,35,1000.0,15000,15,1000.0,overlap_feature_noise,Class weight LogisticRegression,0.7798867798867799,0.7566333333333333,0.003321256038647343,0.7333333333333333,0.0066125638713555755,0.7799333333333334,0.7562744945528119,0.03910574401394249,0.79236,0.007054902037022575,True,35035.0,35000.0,35.0,1000.0,0.00570989195234873,0.0009919210042621817,0.030498543855323846,0.008956567160528795,0.033147689563836694,0.057155163149866385,0.7018122448979591,0.1162598795092566,True,
