dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,experiment,parameter,parameter_value,ir,train_c0,train_c1,train_ir_actual,test_c0,test_c1,test_ir_actual,class_sep,feature_noise_std,flip_y,seed
synthetic,Baseline RF,0.5,0.5277777777777778,1.0,0.05555555555555555,0.10526315789473684,0.23570226039551584,0.23350723124715222,0.9138,0.5103017542716703,0.9814814814814815,4500.0,0.0,85.0,5.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,RF (balanced_subsample),0.5,0.5222222222222223,1.0,0.044444444444444446,0.0851063829787234,0.21081851067789195,0.2088324447241671,0.945641975308642,0.5653951002751564,0.9812636165577342,4500.0,0.0,86.0,4.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Class weight LogisticRegression,0.5,0.7377777777777778,0.05871388630009319,0.7,0.10834049871023216,0.7368099408184507,0.1557911295138873,0.8302913580246913,0.10004609949578981,0.774074074074074,3490.0,1010.0,27.0,63.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Custom weighted log-loss LR,0.5,0.5565555555555556,0.21153846153846154,0.12222222222222222,0.15492957746478872,0.3480066694408437,0.1481831636574296,0.8130740740740741,0.12389866485325916,0.9738562091503268,4459.0,41.0,79.0,11.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Random Oversampling + RF,0.5,0.5611111111111111,1.0,0.12222222222222222,0.21782178217821782,0.3496029493900505,0.34657403525521274,0.9477691358024691,0.5848100785883893,0.9827886710239652,4500.0,0.0,79.0,11.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Random Undersampling + RF,0.5,0.8374444444444444,0.09517766497461928,0.8333333333333334,0.17084282460136674,0.8374343534249693,0.24813648433916194,0.9126703703703704,0.3905237918494205,0.8413943355119826,3787.0,713.0,15.0,75.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,SMOTE + RF,0.5,0.6822222222222222,0.7674418604651163,0.36666666666666664,0.49624060150375937,0.6048568854298113,0.5245201068257462,0.9679148148148149,0.5833317248209967,0.9854030501089325,4490.0,10.0,57.0,33.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Borderline-SMOTE + RF,0.5,0.6604444444444445,0.8285714285714286,0.32222222222222224,0.464,0.5672676551616465,0.5114509365814377,0.9596024691358024,0.5486159358053314,0.9854030501089325,4494.0,6.0,61.0,29.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,ADASYN + RF,0.5,0.6757777777777778,0.64,0.35555555555555557,0.45714285714285713,0.5950910294512373,0.4695788721616601,0.9642222222222223,0.5377445692010662,0.983442265795207,4482.0,18.0,58.0,32.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,SMOTE-Tomek + RF,0.5,0.6822222222222222,0.7674418604651163,0.36666666666666664,0.49624060150375937,0.6048568854298113,0.5245201068257462,0.9679148148148149,0.5833317248209967,0.9854030501089325,4490.0,10.0,57.0,33.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,SMOTE-ENN + RF,0.5,0.698,0.6666666666666666,0.4,0.5,0.63118935352238,0.5092010548749033,0.9598716049382716,0.5563723027653444,0.984313725490196,4482.0,18.0,54.0,36.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Balanced Bagging,0.5,0.8427777777777778,0.15898617511520738,0.7666666666666667,0.2633587786259542,0.8393339511073536,0.32485348634829625,0.9316172839506173,0.4017369858408962,0.9159041394335512,4135.0,365.0,21.0,69.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Balanced Random Forest,0.5,0.8107777777777778,0.22813688212927757,0.6666666666666666,0.33994334277620397,0.7978675282229454,0.3707969407557713,0.9501012345679012,0.47383151896884373,0.9492374727668845,4297.0,203.0,30.0,60.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,EasyEnsemble,0.5,0.7495555555555555,0.05892857142857143,0.7333333333333333,0.10909090909090909,0.7493799906391753,0.16112057422967063,0.8183654320987654,0.13549273482559138,0.7651416122004358,3446.0,1054.0,24.0,66.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,RUSBoost,0.5,0.5951111111111111,0.041237113402061855,0.35555555555555557,0.07390300230946882,0.5447663447482511,0.07036676046914432,0.6261777777777778,0.036756174646393525,0.8252723311546841,3756.0,744.0,58.0,32.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Baseline RF,0.5,0.55,1.0,0.1,0.18181818181818182,0.31622776601683794,0.31341957040361135,0.9813358024691359,0.7896943787787615,0.9823529411764705,4500.0,0.0,81.0,9.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,RF (balanced_subsample),0.5,0.5443333333333333,0.8888888888888888,0.08888888888888889,0.16161616161616163,0.2981092682263823,0.27789868575786875,0.9851135802469135,0.6357200825411977,0.981917211328976,4499.0,1.0,82.0,8.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Class weight LogisticRegression,0.5,0.8398888888888889,0.1034965034965035,0.8222222222222222,0.18385093167701863,0.8397030633312595,0.2598995936546714,0.9248691358024692,0.3112843086278894,0.8568627450980392,3859.0,641.0,16.0,74.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Custom weighted log-loss LR,0.5,0.7462222222222221,0.35384615384615387,0.5111111111111111,0.41818181818181815,0.7082163302059409,0.4115718361801106,0.9231037037037038,0.3742060986899897,0.9721132897603486,4416.0,84.0,44.0,46.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Random Oversampling + RF,0.5,0.5998888888888889,0.9473684210526315,0.2,0.3302752293577982,0.4471639023395734,0.4314120569510134,0.9794148148148148,0.6672349278781085,0.9840958605664488,4499.0,1.0,72.0,18.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Random Undersampling + RF,0.5,0.8861111111111111,0.11598302687411598,0.9111111111111111,0.205771643663739,0.8857583763276348,0.29660359088349175,0.9581493827160493,0.4644664634284135,0.8620915032679739,3875.0,625.0,8.0,82.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,SMOTE + RF,0.5,0.7402222222222222,0.5365853658536586,0.4888888888888889,0.5116279069767442,0.6962474372140701,0.5028886195406634,0.9816543209876543,0.5594366501974092,0.9816993464052287,4462.0,38.0,46.0,44.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Borderline-SMOTE + RF,0.5,0.7195555555555555,0.625,0.4444444444444444,0.5194805194805194,0.664886512176382,0.5192239016155148,0.9843604938271605,0.6125872620285934,0.9838779956427015,4476.0,24.0,50.0,40.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,ADASYN + RF,0.5,0.729111111111111,0.525,0.4666666666666667,0.49411764705882355,0.6802396092009976,0.48547893923779945,0.9823765432098766,0.5617780477859837,0.9812636165577342,4462.0,38.0,48.0,42.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,SMOTE-Tomek + RF,0.5,0.7402222222222222,0.5365853658536586,0.4888888888888889,0.5116279069767442,0.6962474372140701,0.5028886195406634,0.9816543209876543,0.5594366501974092,0.9816993464052287,4462.0,38.0,46.0,44.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,SMOTE-ENN + RF,0.5,0.739111111111111,0.4782608695652174,0.4888888888888889,0.4835164835164835,0.695466802999305,0.47310073809736247,0.9790296296296296,0.5387942531778699,0.979520697167756,4452.0,48.0,46.0,44.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
synthetic,Balanced Bagging,0.5,0.8606666666666667,0.16901408450704225,0.8,0.27906976744186046,0.8585258683736133,0.3446698961878596,0.9560654320987654,0.41580935690802867,0.918954248366013,4146.0,354.0,18.0,72.0,ok,label_noise:flip_y=0.0,label_noise,flip_y,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,1
