dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,experiment,parameter,parameter_value,ir,train_c0,train_c1,train_ir_actual,test_c0,test_c1,test_ir_actual,class_sep,feature_noise_std,flip_y,seed
synthetic,Baseline RF,0.5,0.5277777777777778,1.0,0.05555555555555555,0.10526315789473684,0.23570226039551584,0.23350723124715222,0.9138,0.5103017542716703,0.9814814814814815,4500.0,0.0,85.0,5.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,RF (balanced_subsample),0.5,0.5222222222222223,1.0,0.044444444444444446,0.0851063829787234,0.21081851067789195,0.2088324447241671,0.945641975308642,0.5653951002751564,0.9812636165577342,4500.0,0.0,86.0,4.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Class weight LogisticRegression,0.5,0.7377777777777778,0.05871388630009319,0.7,0.10834049871023216,0.7368099408184507,0.1557911295138873,0.8302913580246913,0.10004609949578981,0.774074074074074,3490.0,1010.0,27.0,63.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Custom weighted log-loss LR,0.5,0.5565555555555556,0.21153846153846154,0.12222222222222222,0.15492957746478872,0.3480066694408437,0.1481831636574296,0.8130740740740741,0.12389866485325916,0.9738562091503268,4459.0,41.0,79.0,11.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Random Oversampling + RF,0.5,0.5611111111111111,1.0,0.12222222222222222,0.21782178217821782,0.3496029493900505,0.34657403525521274,0.9477691358024691,0.5848100785883893,0.9827886710239652,4500.0,0.0,79.0,11.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Random Undersampling + RF,0.5,0.8374444444444444,0.09517766497461928,0.8333333333333334,0.17084282460136674,0.8374343534249693,0.24813648433916194,0.9126703703703704,0.3905237918494205,0.8413943355119826,3787.0,713.0,15.0,75.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,SMOTE + RF,0.5,0.6822222222222222,0.7674418604651163,0.36666666666666664,0.49624060150375937,0.6048568854298113,0.5245201068257462,0.9679148148148149,0.5833317248209967,0.9854030501089325,4490.0,10.0,57.0,33.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,Borderline-SMOTE + RF,0.5,0.6604444444444445,0.8285714285714286,0.32222222222222224,0.464,0.5672676551616465,0.5114509365814377,0.9596024691358024,0.5486159358053314,0.9854030501089325,4494.0,6.0,61.0,29.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,ADASYN + RF,0.5,0.6757777777777778,0.64,0.35555555555555557,0.45714285714285713,0.5950910294512373,0.4695788721616601,0.9642222222222223,0.5377445692010662,0.983442265795207,4482.0,18.0,58.0,32.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
synthetic,SMOTE-Tomek + RF,0.5,0.6822222222222222,0.7674418604651163,0.36666666666666664,0.49624060150375937,0.6048568854298113,0.5245201068257462,0.9679148148148149,0.5833317248209967,0.9854030501089325,4490.0,10.0,57.0,33.0,ok,feature_noise:feature_noise_std=0.0,feature_noise,feature_noise_std,0.0,50,10500,210,50.0,4500,90,50.0,1.0,0.0,0.0,0
