dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,noise,class_sep,feature_noise_std,flip_y,ir,train_c0,train_c1,train_ir_actual,test_c0,test_c1,test_ir_actual,seed
synthetic,Baseline RF,0.5,0.7233333333333334,1.0,0.44666666666666666,0.6175115207373272,0.668331255192114,0.6505743611365944,0.9854977777777778,0.9259762180872209,0.9496969696969697,1500.0,0.0,83.0,67.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,RF (balanced_subsample),0.5,0.6766666666666666,1.0,0.35333333333333333,0.5221674876847291,0.594418483337567,0.576083553391707,0.9938688888888888,0.9594953281125688,0.9412121212121212,1500.0,0.0,97.0,53.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Class weight LogisticRegression,0.5,0.7153333333333334,0.206286836935167,0.7,0.3186646433990895,0.7151689777015405,0.2680592539930245,0.7945511111111112,0.4044236780906065,0.7278787878787879,1096.0,404.0,45.0,105.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Custom weighted log-loss LR,0.5,0.736,0.3888888888888889,0.56,0.45901639344262296,0.7146467658920734,0.4022831169502029,0.78972,0.4805717809872549,0.88,1368.0,132.0,66.0,84.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Random Oversampling + RF,0.5,0.78,1.0,0.56,0.717948717948718,0.7483314773547883,0.7323922906700685,0.99644,0.9698443533457043,0.96,1500.0,0.0,66.0,84.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Random Undersampling + RF,0.5,0.933,0.6301369863013698,0.92,0.7479674796747967,0.9329094275437461,0.7337823762054039,0.9877333333333334,0.9200375886375632,0.9436363636363636,1419.0,81.0,12.0,138.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,SMOTE + RF,0.5,0.9083333333333333,0.9609375,0.82,0.8848920863309353,0.904028023164474,0.8776548915002095,0.9963288888888889,0.9664958938056147,0.9806060606060606,1495.0,5.0,27.0,123.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Borderline-SMOTE + RF,0.5,0.8876666666666666,0.9435483870967742,0.78,0.8540145985401459,0.8811129326028531,0.8454571578590875,0.9955577777777778,0.9569884385044672,0.9757575757575757,1493.0,7.0,33.0,117.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,ADASYN + RF,0.5,0.9003333333333333,0.9307692307692308,0.8066666666666666,0.8642857142857143,0.8954477464747268,0.8543769778282388,0.9931,0.9432415611627412,0.9769696969696969,1491.0,9.0,29.0,121.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,SMOTE-Tomek + RF,0.5,0.9083333333333333,0.9609375,0.82,0.8848920863309353,0.904028023164474,0.8776548915002095,0.9963288888888889,0.9664958938056147,0.9806060606060606,1495.0,5.0,27.0,123.0,ok,clean_IR=10:1,clean,1.0,0.0,0.0,10,3500,350,10.0,1500,150,10.0,0
