dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,noise,class_sep,feature_noise_std,flip_y,ir,train_c0,train_c1,train_ir_actual,test_c0,test_c1,test_ir_actual,seed
synthetic,Baseline RF,0.5,0.6433333333333333,1.0,0.2866666666666667,0.44559585492227977,0.5354126134736337,0.5172807171989036,0.9688,0.8661958495469058,0.9351515151515152,1500.0,0.0,107.0,43.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,RF (balanced_subsample),0.5,0.6066666666666667,1.0,0.21333333333333335,0.3516483516483517,0.46188021535170065,0.4447190471548847,0.9872200000000001,0.9198293681805301,0.9284848484848485,1500.0,0.0,118.0,32.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Class weight LogisticRegression,0.5,0.6873333333333334,0.18397085610200364,0.6733333333333333,0.28898426323319026,0.6871907385225089,0.2285896085149852,0.7324533333333332,0.3088059296526256,0.6987878787878787,1052.0,448.0,49.0,101.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Custom weighted log-loss LR,0.5,0.6753333333333333,0.3595505617977528,0.4266666666666667,0.3902439024390244,0.6278853398511547,0.32495396314426694,0.7311777777777777,0.3705773576860302,0.8787878787878788,1386.0,114.0,86.0,64.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Random Oversampling + RF,0.5,0.6799999999999999,1.0,0.36,0.5294117647058824,0.6,0.581675050747111,0.9886711111111111,0.9321189089862216,0.9418181818181818,1500.0,0.0,96.0,54.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Random Undersampling + RF,0.5,0.9256666666666666,0.5515873015873016,0.9266666666666666,0.6915422885572139,0.9256661265152667,0.6803572877633107,0.9755622222222222,0.8581752587411758,0.9248484848484848,1387.0,113.0,11.0,139.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,SMOTE + RF,0.5,0.8393333333333333,0.8956521739130435,0.6866666666666666,0.7773584905660378,0.825332256326707,0.7662044463762869,0.9859199999999999,0.9056415422105728,0.9642424242424242,1488.0,12.0,47.0,103.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Borderline-SMOTE + RF,0.5,0.8396666666666667,0.9035087719298246,0.6866666666666666,0.7803030303030303,0.8256095391352447,0.7700628113146895,0.9808222222222222,0.8786302246945507,0.9648484848484848,1489.0,11.0,47.0,103.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,ADASYN + RF,0.5,0.8646666666666667,0.8740157480314961,0.74,0.8014440433212996,0.8556323197885097,0.7866209519933803,0.9847533333333334,0.8814248002386804,0.9666666666666667,1484.0,16.0,39.0,111.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,SMOTE-Tomek + RF,0.5,0.8393333333333333,0.8956521739130435,0.6866666666666666,0.7773584905660378,0.825332256326707,0.7662044463762869,0.9859199999999999,0.9056415422105728,0.9642424242424242,1488.0,12.0,47.0,103.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,SMOTE-ENN + RF,0.5,0.8713333333333333,0.875968992248062,0.7533333333333333,0.8100358422939068,0.8633063058832466,0.7952903790745267,0.9844377777777777,0.8822770909979122,0.9678787878787879,1484.0,16.0,37.0,113.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Balanced Bagging,0.5,0.873,0.5707547169811321,0.8066666666666666,0.6685082872928176,0.8704762425758034,0.6408888457519228,0.9605911111111111,0.7741942685408087,0.9272727272727272,1409.0,91.0,29.0,121.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Balanced Random Forest,0.5,0.8863333333333333,0.7933333333333333,0.7933333333333333,0.7933333333333333,0.8814407397992094,0.7726666666666666,0.9765622222222222,0.8779036508128769,0.9624242424242424,1469.0,31.0,31.0,119.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,EasyEnsemble,0.5,0.7010000000000001,0.18461538461538463,0.72,0.2938775510204082,0.7007424633915088,0.24158200158253523,0.7739244444444445,0.3573102591285999,0.6854545454545454,1023.0,477.0,42.0,108.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,RUSBoost,0.5,0.5656666666666667,0.14327485380116958,0.32666666666666666,0.1991869918699187,0.5126965747669646,0.09314280254363762,0.5656666666666667,0.10801524012050329,0.7612121212121212,1207.0,293.0,101.0,49.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,0
synthetic,Baseline RF,0.5,0.7233333333333334,1.0,0.44666666666666666,0.6175115207373272,0.668331255192114,0.6505743611365944,0.9547266666666667,0.857273640559853,0.9496969696969697,1500.0,0.0,83.0,67.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,1
synthetic,RF (balanced_subsample),0.5,0.6966666666666667,1.0,0.3933333333333333,0.5645933014354066,0.6271629240742259,0.6089630138450948,0.9775755555555556,0.8835111398085653,0.9448484848484848,1500.0,0.0,91.0,59.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,1
synthetic,Class weight LogisticRegression,0.5,0.7846666666666666,0.27488151658767773,0.7733333333333333,0.40559440559440557,0.7845848158952181,0.37514784998789624,0.8549200000000001,0.4583295489817109,0.793939393939394,1194.0,306.0,34.0,116.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,1
synthetic,Custom weighted log-loss LR,0.5,0.7889999999999999,0.4291845493562232,0.6666666666666666,0.5221932114882507,0.7794585014967478,0.4771514103497452,0.8473822222222223,0.5178139038498057,0.889090909090909,1367.0,133.0,50.0,100.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,1
synthetic,Random Oversampling + RF,0.5,0.7663333333333333,0.9876543209876543,0.5333333333333333,0.6926406926406926,0.7300532705068704,0.7087495531380085,0.9695666666666667,0.8756561308240125,0.9569696969696969,1499.0,1.0,70.0,80.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,1
synthetic,Random Undersampling + RF,0.5,0.8879999999999999,0.4729241877256318,0.8733333333333333,0.6135831381733021,0.8878788706174333,0.5968673562073666,0.9558577777777778,0.8224235567071428,0.9,1354.0,146.0,19.0,131.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,1
synthetic,SMOTE + RF,0.5,0.8616666666666666,0.8161764705882353,0.74,0.7762237762237763,0.853033801596787,0.7561315270245916,0.9727666666666667,0.8640370832384693,0.9612121212121212,1475.0,25.0,39.0,111.0,ok,overlap_feature_noise_IR=10:1,overlap_feature_noise,0.7,0.15,0.0,10,3500,350,10.0,1500,150,10.0,1
