dataset,scenario,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
synthetic,overlap_feature_noise_IR=1000:1,ADASYN + RF,0.9988011988011989,0.00013320013320014534,0.511,0.0191680579205209,0.047619047619047616,0.08247860988423225,0.022222222222222223,0.03849001794597505,0.030303030303030304,0.0524863881081478,0.08604908160140029,0.1490413812782656,0.03209116547905476,0.05619425453499135,0.8369540740740741,0.06670523333841595,0.030710039727368882,0.031249142539907755,14996.666666666666,2.5166114784236133,3.3333333333333335,2.516611478423583,14.666666666666666,0.5773502691896258,0.3333333333333333,0.5773502691896258,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,Balanced Bagging,0.827017427017427,0.057732744492326335,0.6581222222222222,0.10869878019009599,0.003167847563536505,0.0017111159943826915,0.4888888888888889,0.1677740985615722,0.006293402495227109,0.0033934412705241097,0.6316295635579791,0.12723350141200085,0.028297607481003267,0.02071033588646798,0.701237037037037,0.12307000610078027,0.006515991505989937,0.005287116244695407,12410.333333333334,864.8019040990446,2589.6666666666665,864.8019040990447,7.666666666666667,2.516611478423583,7.333333333333333,2.516611478423583,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,Balanced Random Forest,0.9151293151293151,0.014184771892959953,0.6578222222222222,0.06039795189071068,0.004839266874420697,0.0017195677037286016,0.39999999999999997,0.11547005383792516,0.009561318283602351,0.0033897085655597904,0.6013766133021229,0.08622533859289207,0.03629204801292386,0.014913021681371888,0.762662962962963,0.1288343229003888,0.020496309515391945,0.009676460640970202,13734.666666666666,212.41782724934697,1265.3333333333333,212.41782724934677,9.0,1.7320508075688772,6.0,1.7320508075688772,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,Baseline RF,0.999000999000999,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7314148148148147,0.11055490787824424,0.08213657040865625,0.01911176603654552,15000.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,Borderline-SMOTE + RF,0.9988455988455988,0.00015380626551837984,0.4999222222222222,7.698003589194564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003644382925647501,0.00018422059714749827,0.7685725925925926,0.14764232593191018,0.01970160568987282,0.010571640996723461,14997.666666666666,2.3094010767586344,2.3333333333333335,2.3094010767585034,15.0,0.0,0.0,0.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,Class weight LogisticRegression,0.752003552003552,0.05167737456740056,0.6649777777777778,0.1266910166653647,0.002504695278362361,0.0013583419980951065,0.5777777777777778,0.20367003088692623,0.004987251639282375,0.002700878054771024,0.6548213722212654,0.13687021488763987,0.025210693917276202,0.02056911903873032,0.6920829629629629,0.1331412910571402,0.08989992975663841,0.1429700074542821,11282.666666666666,773.0150925650374,3717.3333333333335,773.0150925650374,6.333333333333333,3.0550504633038935,8.666666666666666,3.055050463303893,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,Custom weighted log-loss LR,0.9990675990675991,6.66000666000588e-05,0.5444333333333333,0.05089932328735926,0.5833333333333334,0.5204164998665332,0.08888888888888889,0.10183501544346311,0.1469298245614035,0.15903281367820957,0.2351325259596029,0.22448988734562553,0.21503527745526108,0.19707125786779012,0.6869925925925925,0.09968256940720083,0.1937657889692331,0.1204601014575524,14999.666666666666,0.5773502691897571,0.3333333333333333,0.5773502691896258,13.666666666666666,1.5275252316519468,1.3333333333333333,1.5275252316519468,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,EasyEnsemble,0.7055167055167054,0.07355048946528904,0.6417111111111111,0.11303222909778787,0.0021127983149347644,0.0009287116853536073,0.5777777777777778,0.15396007178390017,0.004209791059261858,0.0018482179237510085,0.6368160398281105,0.11940685544165183,0.0205736355801851,0.016621886246764667,0.6841333333333334,0.1529372949210813,0.0093791099719343,0.0061006849291094815,10584.666666666666,1102.1144828616189,4415.333333333333,1102.1144828616186,6.333333333333333,2.309401076758503,8.666666666666666,2.3094010767585034,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,RF (balanced_subsample),0.999000999000999,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7026644444444444,0.14088305811628854,0.029213556064896822,0.02662171574337018,15000.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,RUSBoost,0.7205128205128205,0.07219411891834676,0.5937166666666667,0.010960155108391378,0.0016812029983256159,9.842849008041714e-05,0.4666666666666667,0.09428090415820632,0.0033499209171256056,0.00019293299777883483,0.5766344729525343,0.02964291717829681,0.013284705391608514,0.00048513688747029365,0.60893,0.010554747220511262,0.0016321257888131672,0.0004333198886176516,10811.5,1085.4089091213505,4188.5,1085.4089091213505,8.0,1.4142135623730951,7.0,1.4142135623730951,2,1,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,Random Oversampling + RF,0.999000999000999,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762317037037037,0.09016002588904214,0.04001738506985222,0.043323099408819225,15000.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,Random Undersampling + RF,0.7004329004329004,0.12211568534199976,0.6724666666666668,0.10333716659556712,0.0024724601533802283,0.00120057210736954,0.6444444444444444,0.1018350154434631,0.004923979208108956,0.0023842978007924905,0.6710174168133897,0.10223662938750115,0.025764357408037872,0.01695486924885309,0.7272096296296297,0.14004773472515042,0.024472632799928434,0.028674836980359334,10507.333333333334,1832.49729422265,4492.666666666667,1832.49729422265,5.333333333333333,1.5275252316519465,9.666666666666666,1.5275252316519468,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,SMOTE + RF,0.9987789987789988,0.00021408926098329388,0.4998888888888889,0.00010715167512213718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004353388935271712,0.00022099822861162112,0.8016666666666667,0.09344591704481084,0.030006357972384767,0.024562478110070545,14996.666666666666,3.214550253664483,3.3333333333333335,3.214550253664318,15.0,0.0,0.0,0.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,SMOTE-ENN + RF,0.9986901986901987,0.00019225783189797077,0.4998444444444445,9.622504486495909e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005413986783425085,0.00016344300168672602,0.8517392592592593,0.1199465851146186,0.025067439669521806,0.024189743142433703,14995.333333333334,2.8867513459479976,4.666666666666667,2.886751345948129,15.0,0.0,0.0,0.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,SMOTE-Tomek + RF,0.9987789987789988,0.00021408926098329388,0.4998888888888889,0.00010715167512213718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004353388935271712,0.00022099822861162112,0.8016666666666667,0.09344591704481084,0.030006357972384767,0.024562478110070545,14996.666666666666,3.214550253664483,3.3333333333333335,3.214550253664318,15.0,0.0,0.0,0.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,ADASYN + RF,0.9915841584158415,0.0007562006097287023,0.641,0.029713563120792753,0.7203373015873016,0.18927268910461414,0.2833333333333333,0.06009252125773315,0.39783047870004395,0.0510588468681673,0.529984060502091,0.05539313112769036,0.44221198706711234,0.048646173439090244,0.9561208333333333,0.005377874626079216,0.4970650294430535,0.06621552584271263,5992.0,6.082762530298219,8.0,6.082762530298219,43.0,3.605551275463989,17.0,3.605551275463989,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,Balanced Bagging,0.9167216721672168,0.007989821137546732,0.8259444444444445,0.005479971951807058,0.08301586109149552,0.006649970966737278,0.7333333333333334,0.016666666666666635,0.14905957717085563,0.010406407970125016,0.8206722498826263,0.00664819674749665,0.22839094492368106,0.008697900694240493,0.9067856481481482,0.015979653424266476,0.26051189764855814,0.019930442540643717,5511.333333333333,49.237519569260655,488.6666666666667,49.237519569260726,16.0,1.0,44.0,1.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,Balanced Random Forest,0.958910891089109,0.008004576129131916,0.83075,0.013208530492745101,0.15720103900580976,0.026644715632807667,0.6999999999999998,0.033333333333333326,0.2556142445645208,0.032773807919895884,0.8201866982351759,0.01655304776934648,0.3182271257617623,0.02253642580247476,0.9275597222222222,0.00679530676707413,0.41315499385161286,0.08200412744493804,5769.0,50.22947341949744,231.0,50.22947341949744,18.0,2.0,42.0,2.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,Baseline RF,0.9902090209020903,9.527232164843181e-05,0.5055555555555555,0.004811252243246865,0.6666666666666666,0.5773502691896258,0.011111111111111112,0.009622504486493762,0.02185792349726776,0.018929517022610684,0.08606629658238703,0.07453559924999298,0.08564623273551795,0.07417181328739293,0.8948268518518517,0.0399455180742878,0.400172223023042,0.12164803820960952,6000.0,0.0,0.0,0.0,59.333333333333336,0.5773502691896247,0.6666666666666666,0.5773502691896258,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,Borderline-SMOTE + RF,0.9920792079207921,0.00033003300330036733,0.6275000000000001,0.05057200587061753,0.8694444444444445,0.1334201106502537,0.25555555555555554,0.10183501544346309,0.38100807574491785,0.10217046885930967,0.49877997236614324,0.0993871659201736,0.45716251284162807,0.054804573256475565,0.962811574074074,0.002416128744943037,0.5021015538873732,0.057353943392108184,5996.666666666667,4.163331998932229,3.3333333333333335,4.163331998932265,44.666666666666664,6.110100926607787,15.333333333333334,6.110100926607787,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,Class weight LogisticRegression,0.7878987898789879,0.05906791742463578,0.7498888888888889,0.0859683538889188,0.03479004846318953,0.012845918814736713,0.7111111111111111,0.11344765475923412,0.06623968627426773,0.023912211784408634,0.7483997340525578,0.08788933315749375,0.12434978238672366,0.05091085033424897,0.8260481481481481,0.07055264376829168,0.17765292924150322,0.14954229537466796,4732.0,351.1509646861304,1268.0,351.1509646861304,17.333333333333332,6.8068592855540455,42.666666666666664,6.8068592855540455,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,Custom weighted log-loss LR,0.9914191419141914,0.003641596780645837,0.6464166666666666,0.12000705997750484,0.7060810810810811,0.3313395295717518,0.29444444444444445,0.23940512696016936,0.384778653729533,0.2746689377401229,0.5134673081920584,0.21360148931623488,0.4287244048678898,0.2542375693664643,0.8103231481481482,0.09095308926593124,0.3875299269137362,0.22847167693692813,5990.333333333333,13.316656236958655,9.666666666666666,13.316656236958785,42.333333333333336,14.364307617610162,17.666666666666668,14.364307617610162,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,EasyEnsemble,0.7761826182618261,0.05300121788910381,0.7852222222222222,0.04182680338588496,0.03545168641794343,0.008307486702271176,0.7944444444444444,0.050917507721731536,0.06779736758402638,0.015385871513918487,0.7847457821023403,0.0420974740333714,0.13654724347874506,0.028487827176504176,0.8467962962962963,0.038024385281406045,0.2026909971433908,0.10255026473001044,4656.0,320.2998595066816,1344.0,320.2998595066816,12.333333333333334,3.055050463303893,47.666666666666664,3.0550504633038926,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,RF (balanced_subsample),0.9904840484048405,0.0003810892865938635,0.5194444444444444,0.01924500897298753,1.0,0.0,0.03888888888888888,0.03849001794597505,0.07313997477931905,0.06989360131425483,0.18229134144732465,0.09213106741667368,0.18143325525853096,0.09173617642821,0.9460453703703703,0.019795818294258475,0.528826134435532,0.07223290629652067,6000.0,0.0,0.0,0.0,57.666666666666664,2.3094010767585034,2.3333333333333335,2.3094010767585034,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,RUSBoost,0.656023102310231,0.15110615208524403,0.6489166666666667,0.03453038114794304,0.01877504984793861,0.0020279955215597753,0.6416666666666667,0.22391714737574006,0.03637111919505376,0.0034292804022481725,0.6348237220206958,0.037459838162174144,0.06344851775918725,0.007716550803251584,0.6754895833333334,0.0030493979938670626,0.018497358771579923,0.0037396450609602145,3937.0,929.1383104791234,2063.0,929.1383104791234,21.5,13.435028842544403,38.5,13.435028842544403,2,1,0,0,3
synthetic,overlap_feature_noise_IR=100:1,Random Oversampling + RF,0.9907590759075907,0.0001650165016501698,0.5333333333333333,0.008333333333333304,1.0,0.0,0.06666666666666667,0.016666666666666663,0.1246947496947497,0.029305221663776068,0.25682694069731765,0.03255585658656084,0.25563852410895643,0.03242596424060842,0.9432314814814816,0.0022968616762162612,0.49751245270637395,0.07959268900741473,6000.0,0.0,0.0,0.0,56.0,1.0,4.0,1.0,3,0,0,0,3
synthetic,overlap_feature_noise_IR=100:1,Random Undersampling + RF,0.8426842684268427,0.023074201035496327,0.8353055555555556,0.013754123960686386,0.050649405976331684,0.006586920635808978,0.8277777777777778,0.03469443332443555,0.09537555466627136,0.01153248845333874,0.8349972985072878,0.013686591389118692,0.18032610089004722,0.013571371448936097,0.9047217592592592,0.01034323528085394,0.3186770288750979,0.07712390236047971,5057.0,141.09571219565817,943.0,141.09571219565817,10.333333333333334,2.0816659994661326,49.666666666666664,2.0816659994661326,3,0,0,0,3
