dataset,scenario,seed,method,threshold,precision,recall,f1,g_mean,mcc,tn,fp,fn,tp
synthetic_base,threshold_optimization,0,Baseline RF,0.01,0.11750881316098707,1.0,0.2103049421661409,0.40688518719112343,0.13947844580988558,447,2253,0,300
synthetic_base,threshold_optimization,0,Baseline RF,0.02,0.14492753623188406,1.0,0.25316455696202533,0.5868938953886337,0.2234266875332788,930,1770,0,300
synthetic_base,threshold_optimization,0,Baseline RF,0.03,0.17608951707891637,0.9966666666666667,0.2992992992992993,0.692997603900869,0.28964559222500624,1301,1399,1,299
synthetic_base,threshold_optimization,0,Baseline RF,0.04,0.20982456140350877,0.9966666666666667,0.3466666666666667,0.7622465172674913,0.34821331680602335,1574,1126,1,299
synthetic_base,threshold_optimization,0,Baseline RF,0.05,0.2397094430992736,0.99,0.38596491228070173,0.8028698524667619,0.3906254023193073,1758,942,3,297
synthetic_base,threshold_optimization,0,Baseline RF,0.060000000000000005,0.3095487932843652,0.9833333333333333,0.47086991221069435,0.8623754159440604,0.4765971472751307,2042,658,5,295
synthetic_base,threshold_optimization,0,Baseline RF,0.06999999999999999,0.3095487932843652,0.9833333333333333,0.47086991221069435,0.8623754159440604,0.4765971472751307,2042,658,5,295
synthetic_base,threshold_optimization,0,Baseline RF,0.08,0.3495260663507109,0.9833333333333333,0.5157342657342657,0.885092587749377,0.520405059903553,2151,549,5,295
synthetic_base,threshold_optimization,0,Baseline RF,0.09,0.38451443569553806,0.9766666666666667,0.551789077212806,0.8983407200960647,0.5533889671078156,2231,469,7,293
synthetic_base,threshold_optimization,0,Baseline RF,0.09999999999999999,0.4211287988422576,0.97,0.5872855701311807,0.9090084137654042,0.5855784116908479,2300,400,9,291
synthetic_base,threshold_optimization,0,Baseline RF,0.11,0.4552590266875981,0.9666666666666667,0.6189967982924226,0.9178409986296276,0.6148394455444843,2353,347,10,290
synthetic_base,threshold_optimization,0,Baseline RF,0.12,0.4923599320882852,0.9666666666666667,0.6524184476940382,0.9271554799226597,0.646431391539688,2401,299,10,290
synthetic_base,threshold_optimization,0,Baseline RF,0.13,0.5284403669724771,0.96,0.6816568047337278,0.931999046256069,0.6728862142887383,2443,257,12,288
synthetic_base,threshold_optimization,0,Baseline RF,0.14,0.5562015503875969,0.9566666666666667,0.7034313725490197,0.9356960834019918,0.6930818998902292,2471,229,13,287
synthetic_base,threshold_optimization,0,Baseline RF,0.15000000000000002,0.6247191011235955,0.9266666666666666,0.7463087248322148,0.9323897346517446,0.7299450577946425,2533,167,22,278
synthetic_base,threshold_optimization,0,Baseline RF,0.16,0.6247191011235955,0.9266666666666666,0.7463087248322148,0.9323897346517446,0.7299450577946425,2533,167,22,278
synthetic_base,threshold_optimization,0,Baseline RF,0.17,0.647887323943662,0.92,0.7603305785123967,0.9321420969406375,0.7429687138426413,2550,150,24,276
synthetic_base,threshold_optimization,0,Baseline RF,0.18000000000000002,0.7222222222222222,0.91,0.8053097345132744,0.93520645373688,0.7875059052177885,2595,105,27,273
synthetic_base,threshold_optimization,0,Baseline RF,0.19,0.7222222222222222,0.91,0.8053097345132744,0.93520645373688,0.7875059052177885,2595,105,27,273
synthetic_base,threshold_optimization,0,Baseline RF,0.2,0.7377049180327869,0.9,0.8108108108108109,0.9316651759081692,0.7923757374668474,2604,96,30,270
synthetic_base,threshold_optimization,0,Baseline RF,0.21000000000000002,0.8012232415902141,0.8733333333333333,0.835725677830941,0.9232056336349496,0.8175408162452977,2635,65,38,262
synthetic_base,threshold_optimization,0,Baseline RF,0.22,0.8012232415902141,0.8733333333333333,0.835725677830941,0.9232056336349496,0.8175408162452977,2635,65,38,262
synthetic_base,threshold_optimization,0,Baseline RF,0.23,0.8138801261829653,0.86,0.8363047001620746,0.9171735972036087,0.8179435494720999,2641,59,42,258
synthetic_base,threshold_optimization,0,Baseline RF,0.24000000000000002,0.847682119205298,0.8533333333333334,0.8504983388704319,0.9158575553700451,0.8338313869119506,2654,46,44,256
synthetic_base,threshold_optimization,0,Baseline RF,0.25,0.847682119205298,0.8533333333333334,0.8504983388704319,0.9158575553700451,0.8338313869119506,2654,46,44,256
synthetic_base,threshold_optimization,0,Baseline RF,0.26,0.8614864864864865,0.85,0.8557046979865772,0.9149276433645409,0.8398146722069508,2659,41,45,255
synthetic_base,threshold_optimization,0,Baseline RF,0.27,0.8745644599303136,0.8366666666666667,0.8551959114139693,0.9085764200721429,0.8397545443837001,2664,36,49,251
synthetic_base,threshold_optimization,0,Baseline RF,0.28,0.8829787234042553,0.83,0.8556701030927835,0.9054587541989726,0.8406757770456295,2667,33,51,249
synthetic_base,threshold_optimization,0,Baseline RF,0.29000000000000004,0.898876404494382,0.8,0.8465608465608465,0.8899438184514796,0.8323273280779507,2673,27,60,240
synthetic_base,threshold_optimization,0,Baseline RF,0.3,0.898876404494382,0.8,0.8465608465608465,0.8899438184514796,0.8323273280779507,2673,27,60,240
synthetic_base,threshold_optimization,0,Baseline RF,0.31,0.9153846153846154,0.7933333333333333,0.85,0.8870564445414222,0.8372451700082255,2678,22,62,238
synthetic_base,threshold_optimization,0,Baseline RF,0.32,0.9186046511627907,0.79,0.8494623655913979,0.8853561744041523,0.8370069823909008,2679,21,63,237
synthetic_base,threshold_optimization,0,Baseline RF,0.33,0.9291338582677166,0.7866666666666666,0.851985559566787,0.8839808947156167,0.8405624544002873,2682,18,64,236
synthetic_base,threshold_optimization,0,Baseline RF,0.34,0.9357429718875502,0.7766666666666666,0.848816029143898,0.8786718372241505,0.8381193292462225,2684,16,67,233
synthetic_base,threshold_optimization,0,Baseline RF,0.35000000000000003,0.9416666666666667,0.7533333333333333,0.837037037037037,0.8656946115656647,0.8273131984247005,2686,14,74,226
synthetic_base,threshold_optimization,0,Baseline RF,0.36000000000000004,0.9487179487179487,0.74,0.8314606741573034,0.858318770102991,0.8228562512864143,2688,12,78,222
synthetic_base,threshold_optimization,0,Baseline RF,0.37,0.9487179487179487,0.74,0.8314606741573034,0.858318770102991,0.8228562512864143,2688,12,78,222
synthetic_base,threshold_optimization,0,Baseline RF,0.38,0.9641255605381166,0.7166666666666667,0.8221797323135756,0.8453065774478176,0.8162441628165639,2692,8,85,215
synthetic_base,threshold_optimization,0,Baseline RF,0.39,0.9726027397260274,0.71,0.8208092485549133,0.8416782177425184,0.8162381333934997,2694,6,87,213
synthetic_base,threshold_optimization,0,Baseline RF,0.4,0.9768518518518519,0.7033333333333334,0.8178294573643411,0.8378728210161318,0.814136505804019,2695,5,89,211
synthetic_base,threshold_optimization,0,Baseline RF,0.41000000000000003,0.9806763285024155,0.6766666666666666,0.8007889546351085,0.821987954614217,0.7991803063986619,2696,4,97,203
synthetic_base,threshold_optimization,0,Baseline RF,0.42000000000000004,0.9851485148514851,0.6633333333333333,0.7928286852589641,0.8140001820001617,0.7927691105121237,2697,3,101,199
synthetic_base,threshold_optimization,0,Baseline RF,0.43,0.9851485148514851,0.6633333333333333,0.7928286852589641,0.8140001820001617,0.7927691105121237,2697,3,101,199
synthetic_base,threshold_optimization,0,Baseline RF,0.44,0.9896907216494846,0.64,0.7773279352226721,0.7997036488136877,0.7797849309364004,2698,2,108,192
synthetic_base,threshold_optimization,0,Baseline RF,0.45,0.9896373056994818,0.6366666666666667,0.7748478701825557,0.7976183684747958,0.7775873372229415,2698,2,109,191
synthetic_base,threshold_optimization,0,Baseline RF,0.46,0.989247311827957,0.6133333333333333,0.757201646090535,0.7828658967828903,0.7620715204983529,2698,2,116,184
synthetic_base,threshold_optimization,0,Baseline RF,0.47000000000000003,0.9944444444444445,0.5966666666666667,0.7458333333333333,0.7722989570188126,0.7532581071761641,2699,1,121,179
synthetic_base,threshold_optimization,0,Baseline RF,0.48000000000000004,1.0,0.5866666666666667,0.7394957983193278,0.7659416862050705,0.7489369236329161,2700,0,124,176
synthetic_base,threshold_optimization,0,Baseline RF,0.49,1.0,0.5866666666666667,0.7394957983193278,0.7659416862050705,0.7489369236329161,2700,0,124,176
synthetic_base,threshold_optimization,0,Baseline RF,0.5,1.0,0.5733333333333334,0.7288135593220338,0.7571877794400365,0.7398535731883352,2700,0,128,172
synthetic_base,threshold_optimization,0,Baseline RF,0.51,1.0,0.5633333333333334,0.720682302771855,0.7505553499465135,0.7329842997986551,2700,0,131,169
