dataset,scenario,strategy_group,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,g_mean_mean,g_mean_std
AID362 PubChem Bioassay,threshold_optimization,fixed_threshold,0.22537564205886473,0.13334653013531136,0.436046511627907,0.32266520383207814,0.42286287975203385,0.37485186959744093,0.35290221672055266,0.12293039984730483,0.896928616040266,0.05185705801536453,0.2859268154883326,0.13431606281372607,0.5717858407315929,0.22683702309190165
AID362 PubChem Bioassay,threshold_optimization,ghost,0.3545460598649862,0.13745722885929537,0.46782945736434106,0.1356398699126943,0.34448145997973617,0.18839448658969998,0.3529022167205526,0.12177609822930152,0.896928616040266,0.051370126499267754,0.36381652560125866,0.12391674844892754,0.6637193436890997,0.1105441656957892
AID362 PubChem Bioassay,threshold_optimization,train_optimized,0.3225760956340267,0.13195417347128355,0.4428294573643411,0.16992986164775706,0.35424308526309006,0.22510523664144588,0.35290221672055266,0.1218472915111674,0.896928616040266,0.051400158730128535,0.34114363175645884,0.11798374643437988,0.6384367237004479,0.1254081411390793
AID362 PubChem Bioassay,threshold_optimization,validation_optimized,0.22768926105244652,0.14097275892833605,0.5746124031007752,0.26720494824699753,0.24033218677553286,0.25381158646469826,0.35290221672055266,0.1218472915111674,0.896928616040266,0.051400158730128535,0.26821045205113103,0.12852343530295887,0.6712339525238982,0.17182328619612322
Abalone19,threshold_optimization,fixed_threshold,0.03873051643984034,0.04813375376827267,0.32272727272727275,0.3784077020970141,0.04393887564032632,0.09771192179556114,0.053279747218955835,0.02641706518453058,0.8182768960725517,0.05284658041248114,0.06182577765706221,0.06487855073850227,0.3452971401305795,0.34807737893441093
Abalone19,threshold_optimization,ghost,0.06647676112295144,0.05173037782556264,0.24636363636363637,0.24088014895427245,0.04517091504066878,0.03775680116557757,0.05327974721895584,0.026174701664918844,0.8182768960725517,0.05236173915026119,0.07845481522481611,0.0618065854887877,0.38515117053391285,0.2582227493150284
Abalone19,threshold_optimization,train_optimized,0.0672401165876639,0.05724110369104248,0.28295454545454546,0.27927317539195656,0.053995689372031724,0.06493048030431901,0.053279747218955835,0.026189654366318316,0.8182768960725517,0.05239165160008756,0.0847768088368802,0.06679319674370202,0.39951848678181,0.2860117830224675
Abalone19,threshold_optimization,validation_optimized,0.058887124430697234,0.030313345326028692,0.5839285714285714,0.27409739890952056,0.03477419695623133,0.026325144406466557,0.055008919330362414,0.025545393606582305,0.8215367965367966,0.05135708909403685,0.10176120947113192,0.03560401119612824,0.6382339072724734,0.19175947552576975
Credit Card Fraud Detection,threshold_optimization,fixed_threshold,0.5459577941098478,0.354181584879937,0.8154654654654654,0.054604503470129344,0.5612286958153003,0.41351281207085966,0.7272744487903372,0.17246228112413411,0.952406427472082,0.016592249700339127,0.5915474400918911,0.3016281661499138,0.8977802083602973,0.026469984554307314
Credit Card Fraud Detection,threshold_optimization,ghost,0.6497813578084064,0.27757508375682005,0.8012912912912913,0.05558650272287903,0.6500639100756667,0.31951541455742843,0.7272744487903372,0.1709155029633322,0.952406427472082,0.01644343727997813,0.6749437242171977,0.23551907732568111,0.8920056724297734,0.029035477236708684
Credit Card Fraud Detection,threshold_optimization,train_optimized,0.614895784399006,0.303328523474298,0.8048423423423423,0.056392291786934584,0.6187097355527054,0.35367963005493736,0.7272744487903372,0.1710109598280558,0.952406427472082,0.016452620993221315,0.6468400455996767,0.2580699926692926,0.8932182697509696,0.028543578480763
Credit Card Fraud Detection,threshold_optimization,validation_optimized,0.474143750953726,0.311079550875102,0.819557057057057,0.06499597175851311,0.4485913576847989,0.36727602731717635,0.7272744487903372,0.1710109598280558,0.952406427472082,0.016452620993221315,0.5275710272679238,0.2649028458913474,0.895376911607247,0.039359885280115636
Mammography,threshold_optimization,fixed_threshold,0.5477813260757917,0.1806028415403534,0.7356125356125356,0.1433191571172223,0.5351154069898287,0.2710912714563704,0.6690849515704487,0.13315237089424398,0.957285040257271,0.025753617490658236,0.5730574021775041,0.14794912750390488,0.8365021711498035,0.0711235719767327
Mammography,threshold_optimization,ghost,0.6162636597778818,0.13827689843768007,0.7355555555555555,0.12988437792732044,0.5834308560635043,0.1850397250089047,0.6690849515704487,0.13195815510389403,0.957285040257271,0.025522638676992178,0.6255034949280802,0.11754926004778232,0.8443234032349315,0.07342408857700998
Mammography,threshold_optimization,train_optimized,0.604679776826489,0.1459860660027902,0.727065527065527,0.1316782732539672,0.583507356085145,0.20723397458106513,0.6690849515704487,0.13203185416303462,0.957285040257271,0.0255368931537678,0.6165898163420389,0.12253612417537406,0.838028640185575,0.07158522069083594
Mammography,threshold_optimization,validation_optimized,0.49187108830520043,0.17228147271095803,0.7492165242165243,0.18542159059495364,0.47204711120809884,0.2661603010292143,0.6690849515704487,0.13203185416303462,0.957285040257271,0.0255368931537678,0.5256868958407972,0.14279912669571035,0.82690082058736,0.10957565605958011
synthetic_base,threshold_optimization,fixed_threshold,0.7010301438214774,0.1618464636706718,0.7497777777777779,0.1399502075956324,0.7170118411967675,0.24430584872958003,0.8221272790604377,0.18859505716719277,0.9496790397805212,0.07801730337232499,0.6803144487781198,0.17823999999681953,0.8358485858437793,0.0922585436021175
synthetic_base,threshold_optimization,ghost,0.7035385513738666,0.1415497945879181,0.759511111111111,0.18437261701446317,0.7176937671641936,0.19620361370300188,0.8221272790604376,0.186903587509248,0.9496790397805213,0.07731758248127332,0.6866052019356822,0.15370816084204136,0.8384553067453684,0.11186545319843298
synthetic_base,threshold_optimization,train_optimized,0.7141042728463238,0.15654247363565724,0.7516296296296295,0.17274520221989492,0.7425228868043882,0.2058352769494638,0.8221272790604377,0.1870079737712308,0.9496790397805212,0.07736076460275278,0.6968811226207087,0.16731178167478541,0.8360211688034322,0.11035673942103547
synthetic_base,threshold_optimization,validation_optimized,0.7201624670000631,0.15424550033483714,0.8134814814814816,0.15465137591460623,0.6773952723738242,0.18756659620354418,0.8221272790604377,0.1870079737712308,0.9496790397805212,0.07736076460275278,0.6974452721074397,0.16920609020030766,0.8691635097345766,0.10122427585925642
