method,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,status,roc_auc,pr_auc,dataset,scenario,strategy,strategy_group,threshold_source,seed
Baseline RF,0.5,0.9573333333333334,0.7866666666666666,1.0,0.5733333333333334,0.7288135593220338,1.0,0.7571877794400365,0.7398535731883352,2700.0,0.0,128.0,172.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,default_0.5,fixed_threshold,fixed,0
Baseline RF,0.27,0.9716666666666667,0.9116666666666666,0.8745644599303136,0.8366666666666667,0.8551959114139693,0.9866666666666667,0.9085764200721429,0.8397545443837001,2664.0,36.0,49.0,251.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,train_best_f1,train_optimized,train,0
Baseline RF,0.27,0.9716666666666667,0.9116666666666666,0.8745644599303136,0.8366666666666667,0.8551959114139693,0.9866666666666667,0.9085764200721429,0.8397545443837001,2664.0,36.0,49.0,251.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,train_best_g_mean,train_optimized,train,0
Baseline RF,0.27,0.9716666666666667,0.9116666666666666,0.8745644599303136,0.8366666666666667,0.8551959114139693,0.9866666666666667,0.9085764200721429,0.8397545443837001,2664.0,36.0,49.0,251.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,train_best_youden,train_optimized,train,0
Baseline RF,0.27,0.9716666666666667,0.9116666666666666,0.8745644599303136,0.8366666666666667,0.8551959114139693,0.9866666666666667,0.9085764200721429,0.8397545443837001,2664.0,36.0,49.0,251.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,train_best_mcc,train_optimized,train,0
Baseline RF,0.22,0.9656666666666667,0.9246296296296297,0.8012232415902141,0.8733333333333333,0.835725677830941,0.975925925925926,0.9232056336349496,0.8175408162452977,2635.0,65.0,38.0,262.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,ghost_kappa,ghost,train,0
Baseline RF,0.22,0.9656666666666667,0.9246296296296297,0.8012232415902141,0.8733333333333333,0.835725677830941,0.975925925925926,0.9232056336349496,0.8175408162452977,2635.0,65.0,38.0,262.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,ghost_f1,ghost,train,0
Baseline RF,0.22,0.9656666666666667,0.9246296296296297,0.8012232415902141,0.8733333333333333,0.835725677830941,0.975925925925926,0.9232056336349496,0.8175408162452977,2635.0,65.0,38.0,262.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,ghost_g_mean,ghost,train,0
Baseline RF,0.22,0.9656666666666667,0.9246296296296297,0.8012232415902141,0.8733333333333333,0.835725677830941,0.975925925925926,0.9232056336349496,0.8175408162452977,2635.0,65.0,38.0,262.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,ghost_youden,ghost,train,0
Baseline RF,0.22,0.9656666666666667,0.9246296296296297,0.8012232415902141,0.8733333333333333,0.835725677830941,0.975925925925926,0.9232056336349496,0.8175408162452977,2635.0,65.0,38.0,262.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,ghost_mcc,ghost,train,0
Baseline RF,0.33,0.9726666666666667,0.8899999999999999,0.9291338582677166,0.7866666666666666,0.851985559566787,0.9933333333333333,0.8839808947156167,0.8405624544002873,2682.0,18.0,64.0,236.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,validation_best_f1,validation_optimized,validation,0
Baseline RF,0.14,0.9193333333333333,0.9359259259259259,0.5562015503875969,0.9566666666666667,0.7034313725490197,0.9151851851851852,0.9356960834019918,0.6930818998902292,2471.0,229.0,13.0,287.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,validation_best_g_mean,validation_optimized,validation,0
Baseline RF,0.14,0.9193333333333333,0.9359259259259259,0.5562015503875969,0.9566666666666667,0.7034313725490197,0.9151851851851852,0.9356960834019918,0.6930818998902292,2471.0,229.0,13.0,287.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,validation_best_youden,validation_optimized,validation,0
Baseline RF,0.36000000000000004,0.97,0.8677777777777778,0.9487179487179487,0.74,0.8314606741573034,0.9955555555555555,0.858318770102991,0.8228562512864143,2688.0,12.0,78.0,222.0,ok,0.9838771604938271,0.9258405185389887,synthetic_base,threshold_optimization,validation_best_mcc,validation_optimized,validation,0
RF (balanced_subsample),0.5,0.9486666666666667,0.7477777777777778,0.9802631578947368,0.49666666666666665,0.6592920353982301,0.9988888888888889,0.7043541827907426,0.6778647839258303,2697.0,3.0,151.0,149.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,default_0.5,fixed_threshold,fixed,0
RF (balanced_subsample),0.21000000000000002,0.9696666666666667,0.9298148148148149,0.8275862068965517,0.88,0.8529886914378029,0.9796296296296296,0.9284794419232308,0.8365851229330116,2645.0,55.0,36.0,264.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,train_best_f1,train_optimized,train,0
RF (balanced_subsample),0.21000000000000002,0.9696666666666667,0.9298148148148149,0.8275862068965517,0.88,0.8529886914378029,0.9796296296296296,0.9284794419232308,0.8365851229330116,2645.0,55.0,36.0,264.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,train_best_g_mean,train_optimized,train,0
RF (balanced_subsample),0.21000000000000002,0.9696666666666667,0.9298148148148149,0.8275862068965517,0.88,0.8529886914378029,0.9796296296296296,0.9284794419232308,0.8365851229330116,2645.0,55.0,36.0,264.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,train_best_youden,train_optimized,train,0
RF (balanced_subsample),0.21000000000000002,0.9696666666666667,0.9298148148148149,0.8275862068965517,0.88,0.8529886914378029,0.9796296296296296,0.9284794419232308,0.8365851229330116,2645.0,55.0,36.0,264.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,train_best_mcc,train_optimized,train,0
RF (balanced_subsample),0.19,0.9656666666666667,0.9438888888888889,0.7790368271954674,0.9166666666666666,0.8422664624808576,0.9711111111111111,0.9434962560525533,0.8265753619758676,2622.0,78.0,25.0,275.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,ghost_kappa,ghost,train,0
RF (balanced_subsample),0.19,0.9656666666666667,0.9438888888888889,0.7790368271954674,0.9166666666666666,0.8422664624808576,0.9711111111111111,0.9434962560525533,0.8265753619758676,2622.0,78.0,25.0,275.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,ghost_f1,ghost,train,0
RF (balanced_subsample),0.19,0.9656666666666667,0.9438888888888889,0.7790368271954674,0.9166666666666666,0.8422664624808576,0.9711111111111111,0.9434962560525533,0.8265753619758676,2622.0,78.0,25.0,275.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,ghost_g_mean,ghost,train,0
RF (balanced_subsample),0.19,0.9656666666666667,0.9438888888888889,0.7790368271954674,0.9166666666666666,0.8422664624808576,0.9711111111111111,0.9434962560525533,0.8265753619758676,2622.0,78.0,25.0,275.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,ghost_youden,ghost,train,0
RF (balanced_subsample),0.19,0.9656666666666667,0.9438888888888889,0.7790368271954674,0.9166666666666666,0.8422664624808576,0.9711111111111111,0.9434962560525533,0.8265753619758676,2622.0,78.0,25.0,275.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,ghost_mcc,ghost,train,0
RF (balanced_subsample),0.23,0.9706666666666667,0.9259259259259259,0.8419354838709677,0.87,0.8557377049180328,0.9818518518518519,0.924235419744943,0.8395558543606085,2651.0,49.0,39.0,261.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,validation_best_f1,validation_optimized,validation,0
RF (balanced_subsample),0.15000000000000002,0.955,0.9453703703703704,0.7088607594936709,0.9333333333333333,0.8057553956834532,0.9574074074074074,0.9452937357845868,0.7902989671565496,2585.0,115.0,20.0,280.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,validation_best_g_mean,validation_optimized,validation,0
RF (balanced_subsample),0.15000000000000002,0.955,0.9453703703703704,0.7088607594936709,0.9333333333333333,0.8057553956834532,0.9574074074074074,0.9452937357845868,0.7902989671565496,2585.0,115.0,20.0,280.0,ok,0.9900364197530864,0.9314918497707392,synthetic_base,threshold_optimization,validation_best_youden,validation_optimized,validation,0
